,내용,등록일
1910,2010년 12월 현재 만 19세 이상 성인 남성의 흡연율이 39.6%로 낮아져 최초로 30%대에 진입한 것으로 나타났다.이는 2009년 12월의 43.1% 보다 3.5%p 감소한 수치로 밝혀졌다.특히 40대 남성의 흡연율이 2010년 상반기 50.0%에서 43.4%로 6.6%p 낮아졌고50대 남성은 41.5%에서 31.3%로 10.2%p 낮아진 것이 결정적으로 기여한 것으로 나타났다.반면30대 남성의 흡연율은 48.5%에서 52.2%로 3.7%p 상승하였고20대 남성은 38.2%에서 40.9%로 2.7%p가 상승하여 20~30대 남성을 대상으로 적극적인 금연지원 및 홍보활동이 필요한 것으로 나타났다.한편2010년 12월 현재 만 19세 이상 성인 여성의 흡연율은 2009년 말 3.9%에서 2.2%로 1.7%p 대폭 낮아진 것으로 밝혀졌다.그러나 29세 이하 여성의 흡연율이 5.8%로 나타나 여성 흡연자의 대다수가 젊은 여성으로 이들에 대한 흡연예방 대책이 시급한 것으로 나타났다.복지부는 흡연율이 크게 낮아진 것은(1) 흡연자의 건강에 관한 관심이 크게 증가한 점과(2) 금연환경 조성(지자체가 금연구역을 조례로 지정할 수 있도록 하는 국민건강증진법 개정’10.8월 시행)(3) 금연을 지원하고 유도하는 금연홍보활동(Self하지 말고Help 받으세요!)이 기여한 것으로 평가했다.흡연자의 흡연 실태를 보면흡연빈도는 “습관적 흡연자”는 지난 상반기(’10.6월)보다 높아지고(95.0%2.9%p↑)“간헐적 흡연자”는 낮아진(5.0%2.9%↓p)것으로 조사되었다.※ 습관적 흡연자 : 흡연자 중 매일 최소한 한 개비 이상 담배를 피우는 사람흡연이유는 스트레스(29.4%→26.2%)보다는 습관이 되어서(61.7%→67.4%) 담배를 피운다는 응답자가 상반기보다 더 증가하였다.흡연연령은 최초흡연연령(21.1세)과 규칙적 흡연시작연령(21.6세)과의 차이가 크게 적어 흡연시작 후 6개월 이내에 흡연이 습관화되는 경향을 보였다.금연시도 이유 현재 흡연자의 58.1%가 주로 건강이 나빠져서(72.5%) 금연을 시도한 적이 있으며여성의 금연 시도율(52.9%)이 상반기(45.2%) 대비 높아졌다.금연실패 이유 “스트레스” 때문에 금연에 실패했다는 의견이 32.5%로 가장 많았으나지난 조사보다는 7.6%P 하락하였다.특히의지 부족(14.6%→25.3%)과 습관/중독(13.9%→22.9%)으로 실패한 경우가 증가하였다.향후 금연계획으로는 흡연자의 62.3%가 금연의향이 있으며여성(29.4%)이 남성(16.5%)보다 6개월 내 금연의향비율이 훨씬 더 높았다.효과적인 금연정책에 대한 응답은(1) 금연구역 확대(22.8%)(2) 담배가격 인상(19.0%)(3) 흡연단속 및 처벌강화(17.5%)(4) 금연캠페인 및 홍보(16.3%) 순으로 나타났다.담배가격 인상이 흡연율 감소에 49.3%가 효과 있다고 답변하였고금연의향가격이 평균 8 055.6원(상반기 대비 455.2원 낮아짐)으로 높게 나타나 비가격정책과 함께 가격정책 추진의 필요성에 대한 인식이 높아졌다.보건복지부는 성인남성흡연율을 선진국 수원문보기,2011-01-03
1906,보건복지부(장관 진수희)는 2011년 새해를 맞아 「현장 시무식」을 개최사무실이 아닌 민생현장에서 첫 업무를 시작했다.이번 행사는 그간 중앙주도의 정책 수립ㆍ집행에서 벗어나 현장의 목소리를 듣고국민과 소통하는 「현장 중심의 열린 행정」을적극 실천하겠다는 다짐의 일환으로 추진된 것이다.이날 행사에는 장·차관을 비롯한 복지부 전직원*이 참여하였으며국민건강보험공단·건강보험심사평가원·국민연금공단 등 공공기관과 대한약사회한국제약협회 등 유관단체도 함께 하였다.보건복지부(장관 진수희)는 2011년 새해를 맞아 「현장 시무식」을 개최사무실이 아닌 민생현장에서 첫 업무를 시작했다.이번 행사는 그간 중앙주도의 정책 수립ㆍ집행에서 벗어나 현장의 목소리를 듣고국민과 소통하는 「현장 중심의 열린 행정」을적극 실천하겠다는 다짐의 일환으로 추진된 것이다.이날 행사에는 장·차관을 비롯한 복지부 전직원*이 참여하였으며국민건강보험공단·건강보험심사평가원·국민연금공단 등 공공기관과 대한약사회한국제약협회 등 유관단체도 함께 하였다.먼저 진수희 장관은 이날 오전 아동 급식 사회적 기업인 “행복을 나누는 도시락(중구 신당동 소재)”을 방문하여 함께한 직원들과도시락을 포장하고 결식아동 가정에 직접 배달하였다.이어 인근 지역아동센터(“신당꿈 지역아동센터”)를 방문하여 겨울방학 아동 급식 지원 상황을 살펴보고단체 배식 자원봉사를 실시하였다.이 자리에서 진수희 장관은 종사자들을 격려하고 아이들이 꿈과 희망을 펼쳐나갈 수 있도록 지원을 아끼지 않겠다고 약속하였다.또한 오후에는 경기도 이천 소재 노인전문병원(한국관광대학 부설)을 방문하여 입원환자들을 위로하고 애로사항을 청취하였다.한편 각 부서에서도 정책 현장에서 바쁜 새해 첫날을 보냈다.응급의료과(보건의료정책관 포함) 직원들은 1월 2일(일) 24시부터 다음날까지(4개 병원2인 1조) 응급실 현장근무를 실시하였으며노인지원과·사회서비스정책과* 등은 직원들이 “1일 돌보미”가 되어 종사자들과 함께 서비스를 제공종사자들의 애로를 파악하고서비스 질을 높일 수 있는 방안을 모색했다.* 노인지원과: 아파트 택배 배달(노인 일자리 사업)사회서비스정책과: 돌봄서비스제공(1일 사회서비스돌보미)또한 연금정책관 및 구강생활건강과·보험약제과 등은 국민연금공단한국제약협회 등 관련 기관·단체와 함께 전통시장서울역 등에서 대국민 캠페인을 진행하였다* 연금정책관: “내연금갖기” 가두 캠페인구강생활건강과: 新! 2011년 금연결심캠페인보험약제과: “약 바로 사용하기” 거리 홍보 등<현장시무식 주요 사례>현장시무식 주요 사례유 형주요 내용 및 해당과원문보기,2011-01-03
1909,보건복지부(장관 진수희)는 그동안 국민건강보험공단과 국민연금공단근로복지공단에서 각각 수행하던 4대 사회보험 징수업무를 국민건강보험공단(이사장 정형근)으로 일원화하여 2011년 1월 1일부터 본격 시행한다고 밝혔다.이를 위해 건강보험공단은 그동안의 모든 시행준비를 완료하고 금일(2011.1.3 8시) 징수통합정보시스템을 정상적으로 개통하면서 징수통합 서비스를 본격적으로 개시하게 되었다.정부는 지난 십 수년 간의 사회보험 효율화의 논란을 종식시키기 위해 2008년 8월 정부의 「공공기관 선진화 추진계획」(2008.8.11)의 일환으로 4대 사회보험 징수업무를 국민건강보험공단으로 일원화하는 방침을 확정한 바 있다.이에 따라 보건복지부는 징수통합의 주관부처로써 「사회보험징수통합준비위원회」를 비롯 「노사정실무협의회」 및 「정보화실무협의회」를 구성하고 노동부 및 각 공단노조 간 협력 하에 징수통합관련 법률의 개정징수 업무와 조직의 재설계인력의 재배치정보시스템 구축 등 징수통합 시행 준비에 매진해 왔다.징수통합 서비스를 성공적으로 시행하기 위해 지난 1년간 준비해 온 징수통합 정보시스템을 금일(2011.1.3 8시) 정상적으로 오픈하였다.건강보험공단은 양 공단(국민연금근로복지)과 협력하여 징수통합정보시스템 및 각 공단 연계시스템을 구축하고 그간 5차례의 시험운영(7차례의 자료전환시험 포함)과 2차례의 전개 리허설을 거쳐 금일 관련 정보시스템들을 정상적으로 개통하였다.이를 위해 3개 공단은 지난 2010.12.31.(토) 18:00 부터 2011.1.3.(월) 08:00까지(62시간) 4대 사회보험 징수관련 업무를 전면 중단(건강보험 및 의료보호 수신자 자격조회 서비스는 정상 가동)하고각 공단의 징수관련 프로그램과 자료를 건보공단 징수통합 정보시스템으로 이관하는 일련의 전개작업을 성공적으로 완수하였다.금번 전개작업은 응용프로그램 15 973본(건보공단: 13 380국민연금: 1 919근로복지: 674)과 전환자료 391억건을 62시간이내에 새로운 정보시스템으로 이관해야 하는 대규모 프로젝트였으나연말연시 휴일을 반납한 3개 공단의 본부 직원 200여명과 각 지사 직원들의 일사불란한 역할 수행으로 성공리에 마칠 수 있었다.보건복지부는 사회보험 징수통합 시 업무 효율화와 국민편익 향상에 역점을 두었기 때문에 징수통합이 시행되면 각 공단과 사업장의 사회보험 업무가 간결해 지고 국민들의 보험료 납부가 편리해 질 전망이다. 달라지는 제도의 주요내용은 다음과 같다.각 공단의 징수업무가 국민건강보험공단으로 위탁됨에 따라 보험료의 고지ㆍ수납ㆍ체납업무는 국민건강보험공단에서 일괄 처리하게 되며이에 따른 민원업무도 건강보험공단 지사로 창구가 일원화 된다. 따라서 국민들은 전국 178개 건강보험공단 지사 어디에서든지 4대 사회보험료의 납부 및 증명서 발급이 가능해 진다. 다만 보험료의 자격 및 부과 결정은 기존대로 각 공단에서 처리하므로 이와 관련한 민원은 해당 공단 지사에 의뢰해야 한다.건강보험공단에서 사업주들에게는 통상 4개의 보험료(건강보험·국민연금·산재보험·고용보험)를 한 장의 통합고지서로 고지하고일반국민들에게는 2개의 보험료(건강보험·국민연금)를 한 개의 봉투에 동봉하여 고지한다. 다만 사업주에게는 통합고지서와 개별고지서 중 선택적으로 납부할 수 있게 해 통합고지에 따른 부담을 한시적으로 경감시켜주기로 하였다.178개 지사 방문 수납을 비롯해 기존의 자동이체표준OCR 이외에 모바일 및 스마트폰 납부신용카드 자동납부무고지 납부편의점 납부민원포털에 의한 납부 등으로 납부방식을 확대해 국민들의 납부 편의성을 한층 강화하였다.징수업무 일원화와 더불어 산재보험 및 고용보험은 보험료 부과방식을원문보기,2011-01-03
1908,질병관리본부(본부장 : 이종구)는 `10.12.31. 충남 천안과 전북 익산에서 고병원성 조류인플루엔자(이하 ‘고병원성AI')가 확인됨에 따라 농장종사자 및 살처분 참여자 등에 대한 AI인체감염 예방을 위해 신속대응반을 현장에 급파하였다고 밝혔다.신속대응반은 고병원성 AI발생지역에서 농장종사자 및 살처분 참여자에 대한 인체감염 예방을 위해 항바이러스제 및 개인보호구 지급계절인플루엔자 백신접종개인위생수칙 교육을 실시하고 또한발열 감시농장 종사자에 대한 검체 채취(채혈)를 실시하며 천안과 익산의 내과계(내과소아과가정의학과 등) 의료 기관을 통해서 AI인체감염에 대한 능동감시를 진행한다.질병관리본부에서는해당 천안 및 익산 보건소에 계절인플루엔자 백신 900명분을 지원하였고이미 현재 항바이러스제 2 162명분개인보호구 2 300 Set를 보유하고 있으며유사 시추가 지원할 예정이다.또한AI인체감염 발생을 대비하여 인근 국가지정격리병원(충남대 병원전북대 병원)에 상황 발생시 신속하게 대응할 수 있도록 협조를 요청하였으며살처분 참여자 및 대응요원에 대해서는 살처분 참여 후10일 이내 열이나 근육통기침인후통 등 호흡기 증상이 발생하면 보건소로 즉시 신고해줄 것을 당부하였다.,2011-01-03
1907,질병관리본부(본부장 이종구)는 2011년부터는 의료기관을 직접 방문하지 않고도 인터넷을 통해 자녀 예방접종 증명서를 발급 받을 수 있게 된다고 밝혔다.예방접종 증명서는 아동이 받은 예방접종명접종일자접종기관 등이 기록돼 있는 증명서로 초등학교 입학해외 유학 및 이민 시 제출해야하는 필수 증빙서류다.금년부터는 증명서 발급을 위해 접종받은 의료기관(또는 보건소)을 직접 방문하지 않고도 ‘민원24(www.minwon.go.kr)’ 사이트를 통해 직장가정 등 어디에서나 인터넷으로 무료 발급이 가능해졌다.※ 단인터넷으로 발급되는 예방접종 내역은 2002년 이후 보건소에서 접종한 기록 또는 의료기관에서 예방접종 후 접종기록을 전산 등록한 내역에 한해서 발급※ 개인정보 보호를 위해 보호자 공인인증서 로그인 후 자녀 예방접종 증명서 발급 가능<서비스 시행 전후 비교>서비스 시행 전후 비교표현행2011년 서비스 시행 후방법예방접종 증명서 발급 시 접종받은 의료기관 (보건소 및 의료기관) 직접 방문가정직장 등에서 온라인을 통해 직접 출력 가능※ 기존과 같은 의료기관 방문 발급도 가능비용교통비진료비 등 직·간접 발급비용 발생발급 비용 무료한편 질병관리본부는 교육과학기술부와 공동으로 단체생활이 시작되는 초등학생의 감염병 예방 및 퇴치수준으로 유지되고 있는 감염병 관리를 위해 ‘취학아동 예방접종 확인사업’을 실시하고 있다고 밝혔다.질병관리본부는영유아기에 받는 기초 예방접종률은 비교적 높지만(약 90%수준)감염성 질환에 대한 방어면역이 점차 약해지는 아동기(4~6세) 이후에는 정작 예방접종을 소홀히 하는 경우가 많아 단체생활을 하는 어린 학생들의 감염 위험성이 증가하고 있으므로표준 예방접종 일정에 따라 빠짐없이 예방접종을 받을 수 있도록 보호자와 학부모님들의 관심과 실천을 당부하였다.※ 2001년 홍역 대유행 사례 이후 <2차 홍역 예방접종 증명서>를 초등학교 입학 시 제출토록 하고 있음('10.12월 중순 취학 통지서와 함께 예방접종 증명서 양식 발송)예방접종관리과 배근량과장은 “추가 예방접종을 제때 받으면 충분한 면역력을 유지할 수 있어 감염질환 발병을 더 이상 걱정 하지 않아도 된다”고 전하며“학생 본인의 안전은 물론이고 함께 공부하는 친구들의원문보기,2011-01-03
1904,보건복지부(장관 진수희)는 아직까지 식약청의 허가를 받지 아니한 무허가 줄기세포치료제를 제조ㆍ판매한 (주)알앤엘바이오와 이를 환자에게 시술한 가산베데스다의원 등 5개 의료기관*에 대해 약사법 위반 등으로 1. 4(화) 검찰에 수사의뢰하였다.* RNL 베데스다병원(양산)RNL 베데스다의원(서울 반포서울 대치서울 가산경기 군포)복지부는 지난해 11.19∼12.10간 식약청심평원과 합동으로 (주)알앤엘바이오와 동 협력병원 5개소를 대상으로 줄기세포 채취제조(배양)ㆍ판매 및 국내 시술 여부에 대해 조사하였다.조사 결과 무허가 줄기세포치료제 제조ㆍ판매와 이를 환자에게 시술한 점이 전화조사와 진료기록부 등으로 확인되었다.복지부는 자체 확인결과 (주)알앤엘바이오의 경우‘07년부터 ’10년 12월까지 약 8 000여명 환자에 대하여 환자 1인당 1 000∼3 000만원의 비용을 받고 환자의 지방 줄기세포 채취ㆍ배양 및 시술의뢰를 한 것으로 보인다고 밝혔다무허가 줄기세포치료제 제조ㆍ판매 및 시술 확인 사항(주)알앤엘바이오의 경우 환자에게 비용을 받고 자사 연구소에서 배양하여 주로 중국일본의 협력병원에서 시술하고일부 환자의 경우 국내 협력병원에서도 시술한 것으로 확인(전화조사진료기록부)동 협력병원에서 지방을 채취한 50명을 대상으로 전화조사한 결과 3명이 국내에서 시술나머지는 해외시술 등<적용법률>(알앤엘바이오) 무허가 의약품제조ㆍ판매행위(약사법 제31조)영리목적으로 환자를 소개ㆍ알선ㆍ유인 및 사주(의료법 제27조제3항)(국내시술 협력병원) 불법임상시험(약사법 제34조)의료인의 품위손상 : 학문적으로 인정되지 아니하는 진료행위(의료법 제66조제1호)동 협력병원들은 무허가 제조의약품이 외국 의료기관 등에서 시술된다는 사실을 사전에 알고도 환자의 지방을 채취하여 (주)알앤엘바이오에 전달 확인(약사법의료법 및 형법상 불법행위*에 해당하는 것으로 판단)동 협력병원에서 지방을 채취한 50명을 대상으로 전화조사한 결과 3명이 국내에서 시술나머지는 해외시술 등5개 협력병원 조사에서 해외시술이 예정된 것으로 추정되는 지방채취자 진료기록부 19건을 확인 (협력병원) 형법 제30조(공동정범) 2인 이상이 공동하여 죄를 범한 때에는 각 자를 그 죄의 정범으로 처벌한다.또한조사과정에서 (주)알앤엘바이오에서 관련 자료 제출을 거부함에 따라 자료제출 거부에 따른 수사의뢰를 함께 하였다.* 자료제출 거부 : 약사법 제69조제1항 위반으로 200만원 이하 벌금(약사법 제96조제6호)한편식약청에서는 (주)알앤엘바이오의 성체줄기세포를 이용한 임상시험에 대한 실태조사 결과‘의약품 제조 및 품질관리 기준’ 위반 사항이 확인되어 임상시험업무정지 처분도 이루어질 예정이다.* 약사법 시행규칙 제32조제1항제10호 위반,2011-01-04
1903,보건복지부는 ‘국민연금대기업과 사모펀드 조성’은 “결정된 바 없음”을 밝힙니다.☞ 1월 4일자 조선일보 B01면 경제종합면 “국민연금대기업과 사모펀드 조성” 기사 관련[기사 주요내용]국민연금이 국내 대기업과 함께 해외 자원 개발녹색성장 등 신성장동력 분야 투자를 위한 대규모 사모펀드 조성에 나섬국민연금은 이르면 이달 초 펀드결성에 참여할 주요 대기업과 양해각서(MOU)를 체결할 예정이며 펀드 출범시기는 다음 달 유력[보건복지부 해명내용]‘국민연금이 국내 대기업과 함께 해외자원개발녹색성장 등 신성장 동력 분야 투자를 위한 대규모 사모펀드를 조성한다’는 기사내용은 전혀 결정된 바 없습니다.국민연금의 해외자원개발은 기금운용위원회 의결에 따라 현재 자원개발 공기업과 컨소시엄으로 생산단계사업만 투자가능합니다.,2011-01-04
1902,보건복지부는 “사회복무 실태조사 및 제도 개선방안 연구” 결과 기사와 관련하여 다음과 같이 설명함☞ 1월 4일자 서울신문 9면 “사회복무제도 도입취지 무색” 기사 관련[기사 주요내용]병역의무를 사회서비스 분야에서 대체할 수 있도록 한 사회복무제도가 단순 행정업무 보조 등에 이용되며 그 취지를 살리지 못하고 있다는 지적‘사회복무 실태조사 및 제도 개선방안 연구’(한국보건사회연구원) 에 따르면사회복무요원이 가장 많이 담당하는 업무는 '행정사무 업무‘인 것으로 나타남[보건복지부 해명내용]보건복지분야 사회복무요원의 근무현황은사회복지시설 71.2%시ㆍ군ㆍ구 등 사회복지공무원 업무보조 23.3%보건소·국립병원 5.5%로노인ㆍ장애인 시설 등사회복지시설에서 절반 이상의 사회복무요원이 근무하고 있으며 이들은주로 신체활동지원 업무를 수행하고 있습니다.※ 노인시설: 신체활동지원 66.4%장애인 및 정신보건시설: 신체활동지원 55.5%기사에 나온 “사회복무 실태조사 및 제도 개선방안 연구”는 보건복지부가 한국보건사회연구원에 의뢰수행한 것으로한국보건사회연구원은 동 연구를 2차례로 나누어 2009년에는 사회복지시설에서의 사회복무 실태조사를2010년에는 보건의료 및 사회복지행정기관에서의 사회복무 실태조사를 실시하였습니다.동 기사는 2010년 보건의료 및 사회복지행정기관을 중심으로 한 실태조사 결과를 주 내용으로 한 것으로2009년 실시한 사회복지시설 실태조사에 대한 내용이 빠져 있습니다.,2011-01-04
1905,보건복지부는 ‘식약청 일부 공무원의 알앤엘 바이오 임상허가 관련 청탁여부에 대한 검찰 수사의뢰’는 “사실과 다르다”고 밝힘☞ 1월 4일자 동아일보 17면 “줄기세포업체 주식매각차익 식약청 공무원 3명 수사의뢰” 기사 관련[기사 주요내용]보건복지부는 줄기세포치료제 개발업체 알앤엘바이오의 주식을 보유했던 식품의약품안전청 공무원들이 치료제 임상허가와 관련한 청탁을 받았는지 검찰에 수사의뢰할 방침이라고 밝혔다.[보건복지부 해명내용]임상허가와 관련 알앤엘바이오 주식보유 식약청 공무원에 대한 검찰 수사의뢰는사실이 아닙니다.알앤엘 주식보유와 관련하여 지난 ‘10년 11월 식약청에서 자체조사가 이루어졌으며조사 결과 3명이 주식을 보유한 것으로 파악되었으나임상허가 등 의약품 관련 부서 근무경력이 없어 직무연관성이 없는 것으로 확인되었습니다.복지부와 식약청은 이들을 대상으로 검찰에 수사의뢰할 계획이 없습니다.,2011-01-04
1901,국립재활원(원장: 허용)은 장애인의 다양한 재활서비스 및 보건의료수요에 부응하고 의료서비스 질을 향상시키기 위해 전산화단층촬영장치(CT)와 위내시경 시설을 도입하여 건강검진센터를 확대 운영한다.위내시경실은 2011년 1월 3일에 오픈하며CT검사실은 1월 10일부터 진료가 시작된다.국립재활원은 2009년 11월 25일에 국민건강보험공단으로부터 건강검진기관으로 지정된 이후로 장애인을 위한 건강검진센터를 운영하고 있다.건강검진센터에서는 일반병원과 마찬가지로 계측검사(비만시‧청각 이상고혈압)요검사(신장질환)혈액검사(빈혈당뇨병고혈압이상지질혈증동맥경화만성신장질환간장질환)영상검사(폐결핵흉부질환)구강검진 등을 실시하고 있다.또한 국립재활원은 향후 암검진 및 종합검진 시스템도 도입할 예정이다.□ 국립재활원은 장애인의 포괄적이고 종합적인 공공보건 의료재활서비스 제공을 위해 종합건강검진센터 시스템으로 그 영역을 확대 운영할 계획이다.,2011-01-05
