,내용,등록일
1418,지방의료원 운영정보 통합공시지방의료원 운영개선을 위하여 운영정보를 투명하게 공개지방의료원(34개소)의 경영실적인력현황운영평가 결과 등 운영정보를 통합공시* 홈페이지(지역거점공공병원 알리미http://rhs.mohw.go.kr)에 공개＊(근거) 지방의료원의 설립 및 운영에 관한 법률 제24조의2(통합공시)지방의료원의 경영실적인력현황운영평가 결과 등 운영정보가 국민에게 투명하게 공개된다.보건복지부(장관 정진엽)는 지방의료원의 운영정보를 공개하기 위하여 ‘지역거점공공병원 알리미(http://rhs.mohw.go.kr)’를 운영한다고 밝혔다.국민이 정확한 정보를 쉽고 빠르게 접할 수 있도록 지방의료원의 운영정보는 수시로 업데이트 된다.보건복지부는 지방의료원의 공시가 제대로 이루어지는지 상시적으로 점검하여공시내용이 허위 또는 불성실한 경우 지방의료원법 제24조의2제3항에 따라 시정조치를 취할 방침이다.복지부 관계자는 “이번 운영정보 공개를 통해 지방의료원이 국민으로부터 신뢰받는 공공의료기관으로 거듭날 수 있는 계기가 되기를 바란다”고 밝혔다.<붙임>지방의료원 통합공시 개요,2016-01-04
1417,'16년 실업급여상·하한액 차이 없이 단일액(일 43 416원) 지급 불가피｢고용보험법｣ 입법 지연으로 실업급여 상·하한액 단일 적용자활사업 참여자 중 의료·주거급여만 수급하는 자 실업급여 적용 배제65세 이상 용역 근로자건설일용근로자 등 실업급여 수급기회 확대에도 차질‘15년 말까지 ｢고용보험법｣ 개정안(김무성의원 대표발의)이 통과되지 않음에 따라’16년 실업급여 수급액은 상·하한액(일 43 416원)* 단일 적용(’16년1월1일 이직자부터)이 불가피해졌다.* 최저임금의 90%(‘16년 최저임금 6 030원*8시간*90%=43 416원)* 現 실업급여는 “이직 시 평균임금의 50%” 지급을 원칙으로 하되 상·하한액을 설정하고 있으며’15년의 경우 상한액 43 000원하한액 40 176원(최저임금의 90%)임노사정이 합의*한 실업급여 상·하한액 조정안** 중 하한액 조정안을 담은 법안이 ‘14.10월 이후 두 차례 발의되었으나(정부안김무성 의원안)현재까지 국회를 통과하지 못한 상황이다.* ‘14.3월 ｢실업급여 제도개편 노사정 TF｣ 합의‘14.5월 ｢고용보험위원회｣ 의결** 상한액 4→5만원(｢고용보험법｣ 시행령 개정 사항)하한액 최저임금 90→80%(전년도 수준 보장｢고용보험법｣ 개정 사항) ‘일괄 조정’｢고용보험법(김무성의원 대표발의)｣ 주요 내용실업급여 보장성 강화(지급기간 30일 연장 및 지급수준 평균임금 50→60%로 상향)* 이에 따라 수급자 1인당 평균 수급액은 15년 496.3만원에서 ’16년 643.0만원으로 약 146.7만원 증가(수급종료 시 기준보장성 강화 및 상·하한액 조정 동시 시행 시)65세 이상 용역근로자(약 10만명)에 대한 실업급여 특례 적용실업급여 하한액 개편(최저임금 90→80%‘15년 수준 보장) 및 기여요건 조정(이직전 18개월 간 180일 → 24개월 간 270일) 등 제도 합리화이에 따라상한액 인상(43 000원 → 50 000원)을 담은 ｢고용보험법｣ 시행령 개정도(12.11. 입법예고) 추진이 중단된 상황이다.* 상한액만 관행적으로 인상할 경우 재정부담 증가로 노사의 보험료 부담 증가 우려(상·하한액 미개편 시 연간 약 4천억원 재정부담)그 결과하한액이 상한액을 역전하여 ‘16년 실업급여는 상·하한액 차이 없이 단일액(하한액 43 416원) 지급이 불가피해졌다.* 단12월 임시국회 회기(∼‘16.1.8) 내 통과 시 ‘16.1.1. 이직자부터 상·하한액 정상 적용 가능현재 환노위에는 김무성 의원 발의 법안 이외에도 ▴자활사업 참여자 중 기초생활수급자에 대한 실업급여 특례 유지(김용남 의원안) ▴건설일용근로자 실업급여 수급요건 완화(정부안) 내용의 ｢고용보험법｣ 개정안이 함께 계류 중이나건설일용근로자 실업급여 수급요건 완화(정부안) 내용의 ｢고용보험법｣ 개정안원문보기,2016-01-04
1415,정진엽 장관사회공헌활동 기부은행 현장방문정진엽 보건복지부장관은 ‘16년 사회공헌활동 기부은행 확대(17개 지역) 시행에 앞서 준비상황 등을 점검하기 위해 1월 6일 충청북도노인종합복지관과 돌봄어르신 가정을 방문하였다.충청북도노인종합복지관은 월성종합사회복지관(대구 달서구 소재)과 함께 ‘15년 7월부터 사회공헌활동 기부은행 시범사업을 추진해 오고 있다.시범사업 결과6개월 동안 2개 지역에서 돌봄이 필요한 어르신 222명에게 돌봄봉사자를 연계하여 총 5 440시간의 돌봄활동(말벗청소세탁음식조리식사 보조 등)을 제공하는 성과를 보였다.이 날정진엽 장관은 충청북도노인종합복지관에서 사회공헌활동 기부은행 담당자 등과 간담회를 하면서 ‘15년 사회공헌활동 기부은행 시범사업의 성과와 ’16년 사업 준비상황 등을 점검하였다.아울러시범사업을 성공적으로 수행해 온 충청북도노인종합복지관 관장 이하 직원들을 격려하고앞으로 사회공헌활동 기부은행이 성공적으로 정착될 수 있도록 최선을 다해줄 것을 당부하였다.이어서 정진엽 장관은 사회공헌활동 기부은행 돌봄대상자 가정도 방문하여이○○ 어르신(만 90세)의 안부를 확인하고 나눔을 몸소 실천하고 있는 조○○(만46세)김○○(만14세) 모녀에게 감사의 마음을 전달하였다.돌봄대상자 이○○ 어르신은 “돌봄봉사자가 매주 찾아와 음식도 만들어 주고 청소와 말벗을 해줘서 너무 고맙다”고 전했으며돌봄봉사자 조○○씨는 “어르신이 삶의 활력을 찾아가는 모습을 볼 때 마다 보람을 느끼고 딸에게 어르신을 공경하는 마음이 생기고 정서적인 면에서도 도움이 되는 등 돌봄활동을 통해서 얻는 게 더 많다“고 하였다아울러조○○씨는 “어르신을 돌보면서 쌓은 포인트를 나중에 부모님이나 주위 분들에게 기부할 수 있다는 것에 큰 매력을 느낀다”고 하였다.정진엽 장관은 “사회공헌활동 기부은행이 활성화되면 지역사회내 돌봄수요를 주민들이 자발적으로 보완하는 새로운 지역사회 모델이 구축되고이를 통해 세대간 소통과 화합을 이룰 수 있을 것으로 기대된다”고 하면서“국민들이사회공헌활동 기부은행에 적극 참여할 수 있도록 대상 지역을 지속적으로 확대해 나가고 법적 근거도 마련할 계획”이라고 밝혔다.[붙임]사회공헌활동 기부은행 현장방문 개요사회공헌활동 기부은행 돌봄대상자-돌봄봉사자 연계 사례사회공헌활동 기부은행 사업 개요,2016-01-05
1412,1월 5일자 매일경제 기사에 대하여 다음과 같이 설명합니다.기사 주요내용병원 내 감염이 가장 많은 ‘수술 후 감염’은 통계조차 없을 정도로 무방비 상태라는 목소리가 높음“한국도 이젠 의료의 질적 향상을 위해 수술실 환경 개선의료진 인식 제고환자 교육 등에 나서야 함”수술실에 대한 가이드라인조차 없음설명내용수술 후 감염 통계‘06년부터 질병관리본부에서 주요 수술부위 감염실태와 추이를 파악하기 위하여 수술부위 감시체계를 구축하여 운영 중임‘15년 현재 99개 병원급 의료기관에서 자발적으로 참여하여 20개 주요 수술부위에 대해 수술 건수당 수술부위 감염 발생건수를 파악ㆍ보고하여 감염률을 산출하고 있음향후질병관리본부와 전문학회가 공동으로 수술부위 감염감시체계를 운영하여 참여병원 확대감염발생감시 및 예방관리 활동을 강화할 계획임수술실 환경 개선‘15년 5월 29일에 의료법 시행규칙을 개정하여 수술실 환경을 개선하였음의원급 의료기관도 의료법 시행규칙에서 정한 시설기준에맞게 수술실을 설치하도록 의무화하였음* 종전에는 병원급 의료기관만 의료법 시행규칙상의 법정 기준을 준수한 수술실 설치가 의무화되어 있었음이를 통해 실제 수술을 하는 의원급 의료기관에서도 감염방지에 필요한 공기정화설비호흡장치의 안전관리시설 등을 구비하도록 하였음그리고수술실을 설치ㆍ운영할 경우 기도 내 삽관유지장치인공호흡기마취환자의 호흡감시장치심전도 모니터 장치와 정전시의 예비전원설비ㆍ장치 등의 응급의료장비를 반드시 보유하도록 하였다.인공호흡기 : 환자의 호흡이 멎거나 억제되었을 때 인공적으로 호흡을 조절하는 장비기관 내 삽관유지장치 : 의식이 없는 환자의 기도를 확보하기 위한 장비마취환자 호흡감시장치 : 호흡(들숨)시 말초동맥의 산호포화도(혈액 내 산소의 정도)를 측정하여 호흡상태 모니터심전도 모니터 장치 : 심박동과 관련된 전위를 신체 표면에서 도형으로 기록정전에 대비한 예비전원설비ㆍ장치 : 정전시 예비전원 공급수술 후 감염 관리 강화향후 ’환자안전법(‘15.1.28일 제정’16.7.29일 시행)‘에 따라 수술 후 감염 등 의료관련감염 발생시보고ㆍ학습시스템을 구축ㆍ운영하여 의료관련감염 관리를 강화할 계획임의료관련감염 등 환자안전 위해사건 발생시의료기관이 이를 복지부장관에게 보고하도록 하고복지부장관이 그 결과를 분석하여 재발방지를 위한 주의경보 발령가이드라인뉴스레터 등을 발간ㆍ배포하는 환자안전 보고ㆍ학습시스템을 구축할 계획임원문보기,2016-01-05
1416,정진엽 장관대한노인회 신년인사 방문복지부 재능나눔 기부금(1천만원)을 독거노인 지원 위해 써달라고 당부정진엽 보건복지부 장관은 1. 5(화) 대한노인회를 방문하여 대한노인회장(이심) 및 시·도 연합회장 임원들과 신년인사를 나누면서‘붉은 원숭이의 해’인 2016년에도 무리들과 잘 어울려 지내는 것처럼가정과 사회가 서로 화합하고 기운이 넘치기를 기원한다고 말했다.이 자리에서 2016년 노인복지정책 주요 추진과제를 제시하였다.‘기초연금제도 수급희망자 이력관리제’를 통해 기초연금 사각지대를 없애고노인일자리를 39만개까지 확대하였으며어르신들이 보다 건강하실 수 있도록인공 무릎관절 수술비 지원 확대4대 중증질환의 유전자 검사 건강보험 적용65세 이상으로 임플란트·틀니 건보적용을 추진하고보다 편안한 생활을 위하여치매 등으로 거동이 불편한 어르신들께는 24시간 방문형 장기요양서비스 제공장기요양기관 치매전담실을 운영 등 전문화된 서비스를 제공할 계획이라고 밝혔다.아울러정진엽 복지부장관은 복지부 직원들이 모은 ‘재능나눔 기부금’ 1천만원을 대한노인회에 전달하면서전국 홀몸 어르신을 위한 겨울이불 지원 및 쪽방촌 어르신 떡국 나눔행사 등에 써 달라고 당부하였다.[붙임1]2016년도 노인복지 주요정책,2016-01-05
1410,정진엽장관질병관리본부 조직개편 후 첫 현장방문긴급상황실에서 일일 상황 보고받고WPRO신영수 처장과 영상회의.정진엽 보건복지부장관은 6일 오후 질병관리본부를 방문하여 신종감염병 유입 및 확산 대비태세를 점검하고 근무자들을 격려하였다. 질병관리본부는 지난 1월 1일부로 차관급 격상 및 방역체계개선대책의 일환으로 긴급상황센터 신설 등 조직개편을 단행하였다.긴급상황실 현장을 방문한 정 장관은 국내외 감염병 최신 동향에 대해 보고받고감염병 위기대응 태세에 만전을 기해줄 것을 당부하였으며신설 조직 운영 현황 등을 점검하였다.이어 세계보건기구(WHO) 서태평양지역 사무처(WPRO필리핀 마닐라에 위치) 신영수 처장과 영상회의를 통해금년도 글로벌 신종 감염병 발생 현황과 전망을 듣고 향후 대응을 위한 정보공유 및 인적교류 등 상호협력 방안에 대해 논의하였다.보건복지부는 조직개편이 이루어진 질병관리본부가 빠른 시일 내에 안정적으로 기능할 수 있도록 인력배치 등을 조속히 마무리할 것이며아울러 지난해부터 진행 중인 국가방역체계 개편 작업도 지속 추진하고질병관리본부의 내적 역량강화 및 사기 진작을 위한 혁신방안도 새로이 추진할 예정임을 밝혔다.붙임 1. 질병관리본부 조직도 개편 전․후 비교붙임 2. 질병관리본부 조직 개편 전·후 기능 비교붙임 3. 감염병예방법 개정 (’16.1.7. 시행)붙임 4. 국가방역체계개편 추진 사항,2016-01-06
1408,"심사평가원위암 적정성 평가결과 최초 공1등급 기관 89.5%전반적으로 의료 질 우수위암 발견 대부분 1기(74.5%)…남성이 여성보다 2배 많아건강보험심사평가원(원장 손명세이하 ‘심사평가원’)은 2014년 7~12월(6개월) 진료분을 대상으로 실시한 ‘위암 1차 적정성 평가’ 결과를 1월 7일 홈페이지를 통해 공개한다.* 심평원 홈페이지(www.hira.or.kr) > 병원평가정보 > 위암주 요 내 용위암 수술 평가대상 현황(201개기관9 969건)(대상환자) 위절제술과 내시경절제술을 받은 환자(수술) 위절제술 66.7%내시경절제술 33.3% 차지(암 병기) 암 병기 1기가 74.5%이며1기 중에서도 종양의 침윤과 림프절 전이정도가 가장 낮은 T1N0가 67.5%인 것으로 나타남.(성별․연령별) 남성(68.7%)이 여성(31.3%) 보다 2배 이상 높은 비중 차지※ 특히남자는 60대여자는 70대가 가장 많음평가결과종합점수 평균 95.30점으로 1등급 기관이 전체의 89.5% 차지지표별 결과는 94.4%～99.9%로 전반적으로 높게 나타남단""내시경절제술 후 추가 위절제술(76.3%)""과 ""수술 후 8주 이내 권고된 보조항암화학요법 실시율(2기～3기)(84.0%)""은 다소 낮게 나타남암은 우리나라 주요 사망원인이며특히 남자 암 발병률 1위는 위암으로‘13년 예비평가 결과 의료기관 간 편차가 큰 것으로 나타남에 따라 진료편차를 감소시키고진단과 수술이 정확히 이루어졌는지 또는 적기에 항암치료를 실시하고 있는지 등 위암 진료의 질을 향상시키고자 위암평가를 실시하였다.암 병기는 1기~4기로 구분되며이번 위암 평가결과 1기가 74.5%로 1기 중에서도 세부적으로 TNM 분류를 살펴보면종양이 위점막 또는 점막하층에 분포하고 림프절 전이는 없는 T1N0 상태가 67.5%를 차지하여 조기에 발견되는 것으로 나타났다.성별·연령별로는 남성(68.7%)이 여성(31.3%)에 비해 2배 이상 높게 나타났으며 특히남성은 60대여성은 70대가 많은 것으로 나타났다.그림1. 암 병기별 현황그림2. 연령별 현황위암에 대한 적정성 평가는 위암수술(내시경절제술위절제술 모두 포함)을 시행한 201개 기관의 9 969건을 대상으로 실시한 결과전체 종합점수 평균이 95.30점으로 높은 점수를 보였다.종합점수 현황(단위 : 개소점)종합점수 현황원문보기목록으로페이지 만족도 조사만족도 평가이 페이지에서 제공하는 정보에 얼마나 만족하십니까?매우만족만족보통불만족매우불만족등록정부24 개선의견일반적이고 원론적인 의견, 단순건의 사항이 아닌 정부24에서 제공하는개별서비스에 관한 창의적이고 구체적인 제도개선에 대해 의견을 주시는 국민 소통 창구입니다.의견을 주시면 소관 부처와 연계 개선해 나가겠습니다.국민 신문고법령, 제도, 절차 등 행정업무에 관한 질의 또는 설명이나 해석의 요구는 국민신문고를 이용해 ",2016-01-06
1409,“미숙아 의료비 지원예산 연초부터 바닥” 보도와 관련하여 아래와 같이 해명합니다.1월 5일자 SBS 8시뉴스JTBC 뉴스 관련기사 주요내용미숙아 의료비 지원예산이 연초부터 바닥나는 상황 반복* (인터뷰) 15년에 신청 했는데 보건소에서 17년 예산을 받아봐야 알수 있다고 답변해명내용미숙아 의료비 지원사업은 퇴원 후 6개월 이내에 보건소에 신청하는 사업으로 반드시 당해연도 예산으로 당해연도 신청자를 지원해야 하는 사업은 아님아울러 ’15년도 신청자는 ’16년 1/4분기 내에 의료비를 지급받을 수 있으므로 ’15년도에 신청 했는데 ‘17년 예산을 받아봐야 알 수 있다는 인터뷰 내용은 사실과 다르며또한’15년도 의료비 신청액이 ’16년 1/4분기에 정산중에 있으나연초부터 예산이 바닥나 있다는 것은 사실과 다름미숙아 의료비 지원 사업은 ’16년 국민건강증진기금예산으로 113억 3 500만원이 편성되었고금년 1월중 시·도별 미숙아 의료비 신청자 현황을 고려하여 시·도별로 적정예산을 교부할 예정임’16년도에 예산 부족분이 발생하는 경우 미숙아 의료비지원예산 확대를 위해 재정당국과 긴밀히 협의하여 국민건강증진기금운용계획 변경 등을 통해 소요예산을 확보하여 지원할 계획임,2016-01-06
1407,동남아 등 여행객 대상 뎅기열 예방주의 당부국내 첫 뎅기열 집단 유입사례 발생질병관리본부는 2016년 1월 4일부터 5일까지 대구 모 대학병원에서 뎅기열 의심환자로 신고된 8명에 대해서 역학조사를 실시한 결과 2 000년 뎅기열 전수감시를 시작한 이래로 처음으로 뎅기열* 집단 유입사례를 확인하였다고 발표했다.* 뎅기열이란?- 뎅기 바이러스 감염된 모기에 의해 전파되는 급성 열성 질환으로 사람 간 전파되지는 않음- 우리나라의 경우 매년 약 100-200건 사이의 해외유입 사례가 보고되고 있으나이를 통한 지역사회 전파 사례는 없었음이 사례는 2015년 12월 23일부터 12월 31일까지 해외봉사 활동을 위해 스리랑카(콜롬보)를 방문한 대구 모 대학 소속의 자원봉사단 35명 중 8명이 뎅기열 의심증상을 보인 것으로 이 중 6명*이 뎅기열로 확진되었다.* 2명은 스리랑카 현지에서 신속항원검사를 통해 양성 판정되었으며현재 우리본부 국립보건연구원에서 검사 진행 중- 12월 28일부터 31일까지 6명의 봉사단원이 발열 증상 발생하여 조기 귀국한 후국내 의료기관을 내원하여 뎅기열 환자로 의심*되어 해당 의료기관에 입원하였고* 발열발진근육통 및 백혈구 감소증 등- 2016년 1월 3일 2명의 봉사단원이 현지에서 발열 증상이 있어현지 의료기관을 내원하여 뎅기열 양성이 나와 1월 4일 조기 귀국하여 국내 의료기관에 입원하였다.* 이외 봉사단 27명 전원 조기 귀국(‘16.1.4)이에 따라질병관리본부는 추가 감염자 및 국내 확산 방지를 위해 아래와 같이 종합방역 대책을 시행한다고 밝혔다.해당 지자체를 통해 동일 자원봉사단 27명 대상 추가 환자 발생 모니터링 실시관계부처(외교부문체부법무부)와 협력하여 동남아 출국자에 대해서는 뎅기열 예방을 위한 홍보 문자를 발송하고입국자 대상으로는 뎅기열 의심 증상 발생 시 인근병원 방문 및 보건소에 신고하도록 안내의협 및 병원협회를 통해 의료기관에 뎅기열 의신환자 발생시 즉시 관할 보건소에 신고할 수 있도록 협조 요청또한향후 우리국민의 안전한 해외여행을 위해 해외 여행객 대상 뎅기열 예방홍보 활동을 강화할 예정이며우리 국민들도 위험지역 여행 시 안전한 해외여행을 위해 예방수칙*을 준수하여 줄 것을 당부하였다.이 사례는 2015년 12월 23일부터 12월 31일까지 해외봉사 활동을 위해 스리랑카(콜롬보)를 방문한 대구 모 대학 소속의 자원봉사단 35명 중 8명이 뎅기열 의심증상을 보인 것으로 이 중 6명*이 뎅기열로 확진되었다.* 2명은 스리랑카 현지에서 신속항원검사를 통해 양성 판정되었으며현재 우리본부 국립보건연구원에서 검사 진행 중- 12월 28일부터 31일까지 6명의 봉사단원이 발열 증상 발생하여 조기 귀국한 후국내 의료기관을 내원하여 뎅기열 환자로 의심*되어 해당 의료기관에 입원하였고* 발열발진근육통 및 백혈구 감소증 등- 2016년 1월 3일 2명의 봉사단원이 현지에서 발열 증상이 있어현지 의료기관을 내원하여 뎅기열 양성이 나와 1월 4일 조기 귀국하여 국내 의료기관에 입원하였다.* 이외 봉사단 27명 전원 조기 귀국(‘16.1.4)이에 따라질병관리본부는 추가 감염자 및 국내 확산 방지를 위해 아래와 같이 종합방역 대책을 시행한다고 밝혔다.해당 지자체를 통해 동일 자원봉사단 27명 대상 추가 환자 발생원문보기,2016-01-07
1406,복지부장애계와 소통과 화합 강조7일‘장애계 신년인사회’에서 ‘장애인정책미래위원회’ 발족키로보건복지부(장관 정진엽)는 1.7(목) 11시 여의도 이룸센터에서 장애인단체를 대상으로 ‘2016 신년인사회’를 갖고 올해 복지부에서 추진할 주요 장애인정책에 대한 방향을 설명한다.오늘 행사에는 한국장애인단체총연합회 안진환 대표한국장애인단체총연맹 이병돈 대표 등 주요 장애인단체장과 국회의원 등 정재계 및 학계 인사 약 200명이 참석할 예정이다.정 장관은 축사를 통해 장애인건강권보장법 및 장애인보조기기지원법 제정 등 지난해 장애계 주요 사업성과를 정리하고 향후 조치계획 및 역점사항 등을 제시할 계획이다.특히 지난해 국회 마지막 본회의에서 통과된 ‘장애인 건강권 및 의료접근성 보장에 관한 법률’ 제정됨에 따라- 향후 중증장애인을 위한 건강 주치의 제도 등 복지부의 건강권 확보를 위한 인프라 마련을 통해 장애인의 의료기관 접근 및 편의 수준이 한층 개선될 전망이다.이밖에도 복지부는 장애계 최대 관심사 중 하나이자 국정과제기도 한 장애등급제 개편을 위해서지난해 1차 시범사업에 이어 올 상반기 2차 시범사업을 통해 개인별 맞춤형 지원체계 구축을 위한 제도개선안을 마련할 계획이다.정 장관은 평소장애인들의 불편을 해소하고 산적한 현안을 해결하기 위해서는 무엇보다 “장애인복지정책의 최고 전문가라 할 수 있는 장애인단체장들과의 파트너십”을 역설해 온 만큼이번 신년사에서도 단체와의 소통과 화합을 강조할 예정이다.복지부는 지난해 이미주요 장애인단체가 주도적으로 참여하는 ‘장애인정책협의체’와 ‘정책자문단’을 구성하여 정기적 교류와 논의의 창구를 마련한 바 있다.올해는 장애인단체전문가정부로 구성된 ‘장애인정책미래위원회’를 발족하여 장애등급제 개편 이후 신규 서비스 개발맞춤형 지원체계 고도화 등을 위한 단계적 로드맵 제시 및 장애인 정책의 중장기적 청사진을 마련할 계획이다.<붙임> 행사 식순,2016-01-07
