,내용,등록일
1916,"1월 1일자 세계일보(인터넷판) ""정부고준희양 학대사실 알면서도 미온적 대처했다."" 기사와 관련하여 다음과 같이 설명합니다.기사 주요내용정부가 고준희양이 친모로부터 학대 받은 사실을 알면서도 민간단체를 통해 미온적 대처복지부는 민간에서 운영 중인 아동보호전문기관에 의뢰해 친모에 대한 상담을 진행했을 뿐 별다른 조치를 취하지 않음.설명내용1. ""정부가 2016년 5월부터 고준희양이 친모로부터 학대 받은 사실을 알면서도 민간단체를 통해 미온적으로 대처했다.""는 내용에 대하여복지부가 고준희사건을 인지한 시점은 경찰에서 고준희양 실종사건을 공개수사로 전환한 2017년 12월로2016년 5월부터 정부가 알면서 방치했다는 기사내용은 사실과 다릅니다.* 아동학대 발생 시 아동보호전문기관이 아동복지법에 따라 조사관리하고 중대 사항으로 복지부에 보고 시 복지부에서 총괄 관리2. ""아동보호전문기관이 상담을 진행했을 뿐 별다른 조치를 취하지 않았다.""는 내용에 대하여아동보호전문기관은 아동복지법에 따라 위탁받은 법적기관으로서 2016년 5월 24일 신고접수 이후부터 친모학교 등 현장조사를 실시하고친모의 양육부담 경감 등을 위해 건강가정지원센터 서비스 연계 등의 사후관리를 실시했으며 ’17. 3월 모니터링을 통해 첫째둘째 아동은 군산 친외조모 가정에서고준희양은 친부 가정에서 생활하는 것을 확인한 바 있습니다.※ ’16. 5. 24 친모 이웃 112 신고→ ’16. 5. 25 경찰 아동보호전문기관(이하 아보전) 통보 → 25∼26일 경찰ㆍ아보전 친모어린이집 등 조사결과뿅망치로 때리고 집 밖으로 내쫓은 사실 등 확인 → 고위험 징후는 없었으나학대 예방차원에서 건강가정지원센터 연계(친모 거부) 및 안전여부 확인 → ’17. 12월 경찰아보전에 고준희 실종사건 관련 형제에 대한 상담 의뢰해 복지부에 상황 보고고준희양이 친부와 생활한 시점은 명확하지 않으나친부나 계모가 아동학대로 신고받은 전력이 없고재원 어린이집에서도 아동학대 징후를 신고한 바 없는 등의 객관적 정황에 따라 해당 아동보호전문기관은 2016 12월 사례 종결처리하고지침 상 최종확인 절차에 따라 2017년 3월 아동의 안전을 확인한 바 있습니다.3월 이후 이웃어린이집의료기관 등에서 고준희양에 대한 아동학대 신고는 없었던 것으로 아동보호전문기관을 통해 확인했습니다.3. 정부의 대응방향정부는 고준희양 사건과 같은 유사사건 방지를 위해 금년 3월부터 위기아동조기발견시스템을 본격 가동해 위험성이 있는 가정을 찾아내 분기별로 가가호호 방문해 위기아동을 적극 보호하고체벌을 훈육으로 여기는 가정 내 훈육문화 개선을 위한 국민인식개선 및 부모교육에 더 힘쓰도록 하겠습니다.원문보기목록으로페이지 만족도 조사만족도 평가이 페이지에서 제공하는 정보에 얼마나 만족하십니까?매우만족만족보통불만족매우불만족등록정부24 개선의견일반적이고 원론적인 의견, 단순건의 사항이 아닌 정부24에서 제공하는개별서비스에 관한 창의적이고 구체적인 제도개선에 대해 의견을 주시는 국민 소통 창구입니다.의견을 주시면 소관 부처와 연계 개선해 나가겠습니다.국민 신문고법령, 제도, 절차 등 행정업무에 관한 질의 또는 설명이나 해석의 요구는 국민신문고를 이용해 ",2018-01-02
1913,건보 보장성 강화 의-정 실무협의체 제3차 논의 결과의료계와 정부는 건강보험 보장성 강화대책 관련 제3차 실무협의체 논의를 1.2(화) 19:00에 실시하였다.이번 실무협의체 논의에는 의협 비대위에서 송병두 대전의사회장 등 5명병협에서 이성규 기획위원장 등 6명복지부에서 이기일 보건의료정책관 등 6명이 참석하였다.오늘 실무협의체에서는 심사체계개편 관련 논의가 주로 이루어졌다.의료계에서 작년 12.10. 발표한 대정부 요구사항 중 심사평가체계 관련 요구사항에 대해 구체적으로 설명정부 대책을 요청하였고정부는 의료계 의견을 수렴경청하였으며이에 대한 개선방안을 마련하기 위한 논의가 이루어졌다.의료계와 정부는 심사평가체계를 보다 공정하고 투명하게 개선하자는 방향성에 대해 공감하면서상호 논의를 좀더 발전시켜나가기로 협의하였다.다음 실무협의체는 1.5(금) 16:00에 있을 예정이며적정수가 보장방안에 대한 논의가 있을 예정이다.대한의사협회 비상대책위원회대한병원협회보건복지부 공동,2018-01-02
1915,"건강보험 거짓청구 요양기관 37개소 명단 공표‘18. 1. 2.부터 6개월간 보건복지부 홈페이지 등에 공고<건강보험 거짓청구 주요 사례>A요양기관은 직원 기숙사 등으로 사용되는 건물에 환자를 숙박시키고도 병원에 입원한 것처럼 꾸며 입원료 등의 명목으로 3억5400만원을 국민건강보험공단에 청구하여 부당 수령B요양기관에서는 실제 내원한 사실이 없는 환자를 진료한 것처럼 진찰료 등을 청구하고비급여대상 진료 후 그 비용을 환자에게 비급여로 전액 징수하였음에도 진찰료 등을 청구하거나실제 실시하지 않은 시술행위를 실시한 것처럼 진료기록부에 허위 기재 후 그 비용을 청구하는 등 총 8 100만원을 공단에 청구하여 부당 수령보건복지부(장관 박능후)는 2018년 1월 2일부터 6개월 동안 보건복지부 홈페이지 등에 건강보험 요양급여비용을 거짓으로 청구한 요양기관의 명단을 공표한다.이번에 공표된 요양기관은 총 37개 기관으로 의원 21개한의원 13개병원 3개소이며공표내용은 요양기관 명칭주소대표자 성명(법인의 경우 의료기관의 장)위반행위 등이다.보건복지부(www.mohw.go.kr)와 건강보험심사평가원(www.hira.or.kr)국민건강보험공단(www.nhis.or.kr)관할 특별시ㆍ광역시ㆍ도ㆍ특별자치도와 시ㆍ군ㆍ자치구 및 보건소 홈페이지에 2018. 1. 2.~7. 1.까지 6개월 동안 공고한다.공표 대상은 실제 환자를 진료하지 않고도 진료한 것처럼 속이는 방법 등으로 국민건강보험공단에 요양급여비용을 거짓 청구한 기관 중거짓청구 금액이 1 500만원 이상이거나 거짓청구 금액 비율이 요양급여비용 총액 대비 20% 이상인 기관이다.※ ’17.3월∼8월말까지 업무정지 또는 과징금 처분을 받은 437개 요양기관 중 건강보험공표심의위원회의 심의ㆍ의결을 거쳐 공표가 확정된 37개 기관의 총 거짓청구금액은 16억3100만 원임건강보험 공표제도는 ’08. 3. 28. 국민건강보험법 개정에 따라 도입된 제도로서공표 대상기관은 관련 서류 위ㆍ변조로 요양급여비용을 거짓청구하여 행정처분을 받은 요양기관 중「건강보험공표심의위원회」의 심의ㆍ의결을 거쳐 결정된다.대상자에게 공표 대상임을 사전 통지하여 20일 동안 소명기회를 부여하고진술 의견이나 제출된 자료에 대하여 건강보험공표심의위원회의 재심의를 거쳐 최종 확정하였다.※ 건강보험공표심의위원회 구성* 소비자단체 1인언론인 1인변호사 1인의·약계 3인국민건강보험공단 1인건강보험심사평가원 1인보건복지부 1인으로 구성(총 9명)보건복지부 이재란 보험평가과장은 ""향후 거짓ㆍ부당청구 의심기관에 대한 현지조사를 더욱 강화하고 적발된 기관에 대해서는 행정처분을 엄격히 집행할 계획""이라고 밝혔다.더불어 ""특히 거짓청구기관에 대해서는 업무정지 등 처분 외에 면허자격정지처분원문보기",2018-01-02
1912,박능후 장관의료계 신년회서‘대화와 소통’약속대한의사협회ㆍ대한병원협회 주최 의료계 신년 하례회 참석박능후 보건복지부장관은 1월 4일(목) 대한의사협회와 대한병원협회가 주최하는 의료계 신년 하례회에 참석하여 의료계의 헌신과 노고에 감사를 전하고신년 계획을 밝혔다.박능후 장관은 우리나라가 어려운 여건 하에서도 선진국 수준의 국민건강수준과 의료제도를 갖추게 된 것은 그간 의료인들의 헌신적인 노고 덕분이라며 감사를 표시하였다.그러나아직까지도 보건의료체계에 대한 국민적 요구가 큰 상황으로 정부와 의료계가 함께 보건의료계의 과제들을 해결해 나가야 한다고 말했다.최근 신생아 중환자실 사망사건 등으로 국민들의 보건의료체계에 대한 불신이 커의료서비스의 질과 환자안전을 높일 수 있도록 보건의료체계를 개선해 나가겠다고 하였다.또한지난해 발표한 건강보험 보장성 강화대책과 함께 재난적 의료비 지원 등을 통해 국민들의 의료비 부담을 낮추고 고액 의료비로 인한 가계 파탄이 없도록 하겠다고 밝혔다.아울러국민이 언제어디서나 필수 의료서비스를 보장받을 수 있도록 의료 공공성을 강화해 나갈 예정이라고 덧붙였다.아울러박 장관은 정부가 추진하는 정책은 의료계의 도움과 협조가 필요함을 당부하고 앞으로 의료현장의 의견을 경청하고 소통하면서 보건의료정책을 추진해 나가겠다고 약속하였다.,2018-01-04
1911,"「제2기 경고그림 제정위원회」1차 회의 개최기존 10개 주제 적정성효과성 등 담뱃갑 경고그림 교체 방향 논의보건복지부(장관 박능후)는 담뱃갑에 표기하는 흡연 경고그림을 제작ㆍ선정하기 위해 ‘제2기 경고그림 제정위원회’(이하 ""위원회"")를 구성하고1월 4일 11시(장소 : 서울 중구 소재 ‘세종호텔’)에 제1차 회의를 개최한다고 밝혔다.※ 담뱃갑 경고그림 : 담뱃갑 앞ㆍ뒷면에 표기하도록 하는 사진 또는 그림으로 흡연에 따른 질병ㆍ신체 손상 등 흡연의 폐해를 시각적으로 보여줌. 2017년말 기준 우리나라를 포함한 105개국에서 도입 중「경고그림 제정위원회」는 객관적이고 공정한 절차를 통한 그림 제작을 위해 관련 분야 전문성을 가진 민간 전문가 중심으로 구성ㆍ운영된다.현재 표기 중인 10종 그림의 정기교체시기가 도래함*에 따라 제2기 위원회를 통해 ’18. 12. 23.부터 표기될 제2기 그림들을 제작ㆍ선정할 방침이다.* 경고그림의 효과 저하를 방지하기 위해「국민건강증진법」시행령(제16조)은 24개월마다 정기교체(고시)하도록 하고 있음(’16. 6월 고시하여 ’18. 6월이 정기 교체시기교체된 그림은 ’18. 12. 23.부터 적용)위원회는 보건의료커뮤니케이션법률경제행정언론 등 분야별 민간 전문가(7명)를 포함담배 규제 및 청소년 정책 관련 부처 국장급(4명) 등 총 12명으로 구성했다.이번 1차 회의에서는 위원회 운영 관련 제반사항 및 현재 10종 그림에 대한 효과평가 분석을 토대로 제2기 그림에 대한 향후 제작방향에 대해 논의하게 된다.아울러그림 면적*면세담배에 대한 외국어 경고문구 적용 등 경고그림의 건강경고 효과를 높이기 위한 주요 사항들도 함께 논의할 계획이다.*「국민건강증진법」제9조의2제2항에 따르면 경고그림 및 경고문구는 담뱃갑포장지 앞ㆍ뒷면 각각 100분의 50이상 크기로 하되이 중 경고그림 면적은 100분의 30이상 크기로 하도록 하고 있음(현재는 법률에 따른 30/50 최소기준 적용 중)특히궐련형 전자담배의 경우 현재 액상형 전자담배에 표기되는 그림과 동일한 그림(주사기 그림 1종)을 표기하고 있으나 실제로는 일반궐련과 유사하다고 볼 수 있어 별도의 강화된 경고그림이 필요하다는 방침이다.보건복지부는 ""궐련형 전자담배 경고그림 수위 강화 등 새로운 이슈들에 대해서도 적극 논의하는 한편2년 교체주기에 맞춰 새로운 그림들이 표기될 수 있도록 차질 없이 준비하겠다.""고 밝혔다.<붙임>제2기 경고그림 제정위원회 명단현재 시행 중인 경고그림 10종",2018-01-04
1907,"1월 5일자 한국일보 ‘요양보호사 사라진 625원 ‘최저임금 꼼수’ 기사와 관련하여 다음과 같이 설명합니다.기사 주요내용18년 최저임금이 인상되자 보건복지부가 요양보호사 처우개선비를 수가에 합쳐 기관에 일괄 지급하는 방식으로 바꿈으로써기관장이 최저임금만 지키고 수당은 주지 않는 등 요양보호사 임금 중 625원이 사라져 보건복지부가 ‘최저임금 꼼수’를 쓰고 있다는 요양보호사 단체의 주장 보도설명내용요양보호사 처우개선비는수가 상의 인건비 중 요양보호사 처우개선을 위한 부분을 별도지급관리토록 절차를 마련한 제도로서요양보호사의 처우개선과 서비스 질 향상을 유도하기 위해 한시적으로 기본 수가(인건비)에 포함시켜 운영해왔으며(‘13.3~)※ 지급액 : 시간당 625원최대 월 10만원시설장이 수가에 포함된 처우개선비를 인건비와 구분하여 요양보호사에게 지급급여비용 청구시 공단이 이를 확인하는 방식으로 관리해왔습니다.그간요양보호사의 낮은 임금 수준 및 관리장치 미흡 등을 사유로 한시운영 기한을 연장해왔으나’18년 최저임금 인상에 따른 요양보호사 임금의 대폭적 인상(평균 16.55%)요양보험재정의 급격한 증가(전년대비 1.5조원 증가5.6조 → 7.1조)8년만의 보험료율 인상 등으로 재정 여건이 변화하였고그간타 직종과의 형평성 등 부작용이 지속적으로 제기되어 온 만큼 지급 방식 등 제도 개선을 추진하게 되었습니다.이에 공익가입자(민노총한노총경실련 등)공급자(의협장기요양기관대표 등)로 구성된’17년도 제4차 장기요양위원회(’17.11.6)*에서는 ’18년도 인건비에 최저임금과 처우개선을 고려한 인상분을 반영하고 공단이 처우개선비 지급 여부를 별도로 확인하는 절차를 생략하고 기본 급여비용과 통합 관리하는 사회적 합의안을 의결하였습니다.* 가입자 대표 등 위원대상 사전설명 및 3차에 걸친 장기요양실무위원회(’17.9.2910.1911.2) 논의 후 본회의 심의이는장기근속 장려금 도입*(‘17.10월) 및 ‘18년 최저임금의 대폭 인상에 따른 임금 상승과인건비 지출비율 준수 의무화**(’17.5월) 및재무ㆍ회계규칙 도입***(‘18.5월) 등 지급관리를 위한 제도적 장치가 마련되었다는 판단에 따른 것입니다.*장기근속장려금: 장기요양요원(요양보호사간호사 등)에 대하여 기관 근속 기간(3～5년)에 따라 4～7만원(방문:4～6만원입소: 5～7만원)을 지급하는 제도** 인건비 지출 비율 준수 의무화: 급여비용 중 고시된 비율만큼 장기요양요원(요양보호사간호사 등)의 인건비로 지출토록 의무화 (장기요양보험법 제38조제4항)*** 재무․회계규칙 도입: 장기요양기관들로 하여금 예․결산 등을 지자체에 보고토록원문보기목록으로페이지 만족도 조사만족도 평가이 페이지에서 제공하는 정보에 얼마나 만족하십니까?매우만족만족보통불만족매우불만족등록정부24 개선의견일반적이고 원론적인 의견, 단순건의 사항이 아닌 정부24에서 제공하는개별서비스에 관한 창의적이고 구체적인 제도개선에 대해 의견을 주시는 국민 소통 창구입니다.의견을 주시면 소관 부처와 연계 개선해 나가겠습니다.국민 신문고법령, 제도, 절차 등 행정업무에 관한 질의 또는 설명이나 해석의 요구는 국민신문고를 이용해 ",2018-01-05
1910,건보 보장성 강화 의-정 실무협의체 제4차 논의 결과의료계와 정부가 참여하는 건강보험 보장성 강화대책 관련 제4차 실무협의체가 1.5.(금) 16:00에 개최되었다.이번 실무협의체 논의에는 의협 비대위에서 송병두 대전광역시 의사회장 등 6명병협에서 이성규 기획위원장 등 6명복지부에서 이기일 보건의료정책관 등 5명이 참석하였다.오늘 실무협의체에서는 수가 보상 관련 논의가 주로 이루어졌다.복지부는 의료계에 적정수가 보상 추진방향을 제시하면서 이에 수반되는 고려사항을 공유하였으며의료계는 적정수가 보상 필요성을 강조하는 한편수가 협상 구조 개편을 요구하였다.이에 상호 간 적정수가 보상 수준수가 협상 구조 개선 등에 대한 활발한 토론이 진행되었으며상호 협의를 위하여 차기 회의 시 보다 심도 있는 논의를 하기로 하였다.다음 논의는 1.12.(금) 17시에 있을 계획이며각자 입장에 대한 근거자료 및 발전적 대안을 토대로 논의가 이루어질 예정이다.대한의사협회 비상대책위원회대한병원협회보건복지부 공동,2018-01-05
1908,"인플루엔자 지속 증가예방접종과 개인위생수칙 준수 철저 당부!유행주의보 발령(2017년 12월 1일) 이후 지속적으로 환자 발생특히7～18세에서 환자가 많이 발생하며A형과 B형 인플루엔자 모두 유행인플루엔자 예방접종 미접종자는 예방접종을 받고 인플루엔자 의심 증상이 있을 경우 신속히 진단과 치료 받을 것을 당부감염 예방과 확산방지를 위한 올바른 손씻기기침예절 등 개인위생 준수 당부질병관리본부(본부장 정은경)는 지난 12월 1일 2017-2018절기 인플루엔자 유행주의보를 발령(47주외래 환자 1 000명당 7.7명)한 이후 인플루엔자 의사환자수가 52주(12.24~12.30) 71.8명으로 증가하고 있다고 밝혔다.연령별로 전 연령에서 인플루엔자 의사환자수가 증가하고 있으나 특히7~12세(외래 환자 1 000명당 144.8명)13~18세(외래 환자 1 000명당 121.8명)에서 발생 비율이 높았다.인플루엔자 실험실 감시 결과 2017-2018절기 시작(2017년 9월 3일) 이후 제52주까지(2017년 12월 30일) B형이 302건(54.1%)A(H3N2)가 218건(39.1%)A(H1N1)pdm09가 38건(6.8%)이 검출되었다.* 인플루엔자 의사환자: 38℃ 이상의 갑작스러운 발열과 더불어 기침 또는 인후통을 보이는 자** 2017-2018절기 인플루엔자 유행기준 : 6.6명/1 000명(2016-2017절기 8.9명)(인플루엔자 유행기준 공식 : 과거 3년간 비유행기간 평균 인플루엔자의사환자(ILI) 분율 + 2×표준편차)따라서질병관리본부는 인플루엔자가 지속적으로 증가추세이니 임신부만성질환자 등우선접종 권장대상자*중 미접종자는 지금이라도 인플루엔자 예방접종 받을 것을 당부하였다.* 우선접종 권장대상자: 붙임 7 참조특히고위험군*은 인플루엔자 감염 시 폐렴 등 합병증 발생 및 기존에 앓고 있는 질환이 악화될 수 있으므로 의심 증상 시 가까운 의료기관에서 신속한 진료를 받을 것을 강조하였다.인플루엔자 검사에서 양성이면 항바이러스제의 요양급여가 인정되며특히 유행주의보 발령 이후부터고위험군*환자는 인플루엔자 검사 없이 항바이러스제 요양급여가 인정(붙임 8 참조)* 고위험군: 만기 2주 이상 신생아를 포함한 9세 이하 소아임신부65세 이상면역저하자대사장애심장질환폐질환신장기능 장애 등또한인플루엔자에 감염되었을 경우 집단 내 전파를 예방하기 위해 증상발생일로부터 5일이 경과하고 해열제 없이 체온 회복 후 48시간까지 어린이집유치원학원 등에 등원ㆍ등교를 하지 않도록 하여야 한다고 거듭 강조하였다.개인위생수칙올바른 손씻기의 생활화흐르는 물에 비누로 30초 이상 손씻기외출 후배변 후식사 전·후기저귀 교체 전·후코를 풀거나 기침재채기 후 등원문보기목록으로페이지 만족도 조사만족도 평가이 페이지에서 제공하는 정보에 얼마나 만족하십니까?매우만족만족보통불만족매우불만족등록정부24 개선의견일반적이고 원론적인 의견, 단순건의 사항이 아닌 정부24에서 제공하는개별서비스에 관한 창의적이고 구체적인 제도개선에 대해 의견을 주시는 국민 소통 창구입니다.의견을 주시면 소관 부처와 연계 개선해 나가겠습니다.국민 신문고법령, 제도, 절차 등 행정업무에 관한 질의 또는 설명이나 해석의 요구는 국민신문고를 이용해 ",2018-01-05
1906,"제1차 국민건강보험종합계획 수립소통으로 본격 시동의약계ㆍ학계ㆍ시민사회 등 사전 의견수렴을 위한 릴레이 간담회 개최이에복지부는 본격적인 계획(안) 마련에 앞서 다양한 의견을 수렴하고자 각계각층과의 소통을 시작한다고 밝혔다.건강보험종합계획은 「국민건강보험법」개정ㆍ시행(‘16년 8월)에 따라 제도의 건정한 운영을 위하여 보건복지부장관이 건강보험정책심의위원회(이하 ’건정심‘) 심의를 거쳐 5년 마다 수립하여야 한다.건강보험은 1977년 출범 이후 단계적으로 적용범위를 넓혀 1989년 전국민 건강보험을 실현하였고2000년 및 2003년에 단일 제도로 제도와 재정을 통합한 이후 2005년부터 3차에 걸쳐 중기 보장성 강화계획을 수립ㆍ이행하였다.그러나사실상 제도 전반을 조망하고 개선하기 위한 종합계획은 부재했던 상황이었다.이번에 수립될 종합계획은 건강보험 정책의 기본목표와 추진방향재정부과급여 등 제도 전반을 아우르는 국가 차원의 첫 건강보험 전략으로써 의의를 갖게 될 것이다.향후 보장성 강화 및 노인의료비 증가 등 다양한 환경적ㆍ정책적 변화가 예상되는 만큼이를 사전에 대응하기 위해 미래 건강보험 제도가 나아가야 할 정책방향 제시가 어느 때보다 중요한 시점이란 판단이다.나아가제3차 중기 보장성 강화계획(2014~2018)이 마무리되는 올해는 제1차 계획을 수립할 적기로 보장성 강화 내용을 포함하여 내년부터는 본격적인 개선 작업을 실천해 나갈 예정이다.이를 통해 건강보험이 걸어온 40년을 돌아보고앞으로의 미래를준비하는 초석을 마련함으로써 국민의 건강 수준을 한 단계 끌어올리는 전기가 될 것으로 기대된다.보건복지부 관계자는 ""보다 내실 있고 실효성 있는 종합계획 수립을 위해 우선 다음 달부터 연구 시작을 목표로 하고종합계획 수립방향과 추진일정을 공유하고 의견을 듣는 간담회도 순차적으로 개최해 나갈 예정""이라고 밝혔다.또한 ""간담회는 의약계학계시민사회 등 건강보험을 둘러싼 다양한 이해관계자들이 참여하여 20여 차례에 걸쳐 다음 달까지 진행할 예정""이라고 덧붙였다.아울러""간담회를 통해 제기되는 다양한 의견들은 연구 수행 과정에 반영해 구체적인 종합계획(안)을 마련하게 되면 건정심 등을 통한 본격적인 사회적 합의 과정을 진행하게 된다.""라고 밝혔다.",2018-01-09
1905,"국립마산병원-한국파스퇴르연구소 결핵신약 개발 협약 체결국립마산병원(원장 김대연)과 한국파스퇴르연구소(소장 류왕식)는 2018년 1월 5일(금) 결핵신약 개발을 위한 업무 협력을 체결하였다.전 세계적으로 매년 900만명 이상의 신규 결핵환자가 보고되고 있고기존의 약물들에 내성을 보이는 내성 결핵환자들에 대한 새로운 약제의 개발이 시급한 시점에서 두 기관의 연구협력은 혁신적인 결핵 및 감염성질환 치료제 개발을 앞당길 것으로 기대된다.이미 혁신결핵치료신약Q203을 개발한 바 있는 한국파스퇴르연구소의 신약개발연구팀은 다제내성 결핵치료 최고 전문기관인 국립마산병원과 협력하여 선도물질 최적화를 통한 항결핵혁신신약 전임상 후보물질을 제시할 계획이다.이번 협약에 따라 양 기관은 바이오이미징 기술 분야의 최첨단 연구역량약물최적화 기술 및 임상경험 등을 접목한 신약 개발을 목표로 연구 인력 교류새로운 신약 후보군의 발굴 및 평가 등 단계적으로 연구협력을 진행할 예정이다.류왕식 한국파스퇴르연구소 소장은 ""이번 협력을 통해 바이오이미징 기술을 연구현장에서 직접 적용하여 새로운 다제내성 결핵치료제 개발을 앞당길 것""이라고 기대를 밝혔다.김대연 국립마산병원 원장은 ""이번 협력을 계기로 안정성이 확보된 결핵 혁신신약 전임상 후보물질을 도출하여 우리나라 신약개발 및 관련 산업 발전에 기여할 수 있도록 국립결핵병원의 연구역량을 최대한 발휘하겠다""고 말했다.",2018-01-09
