,내용,등록일
999,보건복지가족부(장관 전재희)와 질병관리본부(본부장 이종구)는 그간 우리나라에서 수립된 줄기세포주의 국가관리를 통한 연구 촉진 및 경쟁력 강화를 위하여 ’10년 1월 1일부터 줄기세포주 등록제를 시행한다고 밝혔다.이에 따라 줄기세포주(성체줄기세포는 제외)를 수립하거나 수입한 자는 2010년 1월 1일부터 줄기세포주를 제공하거나 이용하기 전에 질병관리본부에 등록을 신청하여야 하며 줄기세포주는 질병관리본부내에 분야별 전문가로 구성된「줄기세포주 등록심의자문단」에서 수립 과정에 대한 윤리적 검증과 줄기세포특성별 과학적 검증을 거쳐 등록된다.줄기세포주 등록과정 및 절차는 질병관리본부 홈페이지에 전부 공개되며 DB 구축을 통하여 등록된 줄기세포주에 대한 정보가 제공됨으로써 연구자간 정보 공유가 가능해지고 연구의 편의가 증진된다.※ 줄기세포주 등록제는 국내 줄기세포주의 신뢰도를 제고하여 국내줄기세포연구가 활성화될 수 있도록 2008년 6월 5일 「생명윤리 및 안전에 관한 법률」개정을 통해 신설되었으며 시행령 개정(‘09.11.30.) 및 시행규칙 개정(‘09.12.31.)을 거쳐 ’10.1.1.부터 시행된다.동 제도는 줄기세포주 수립자가 윤리적·과학적 검증을 거쳐 줄기세포주를 등록하여 국가의 관리를 받도록 함으로써 연구자는 수립정보 제공 등으로 줄기세포 관련 연구를 촉진하여 보건산업육성 기반 확보 및 국가 경쟁력 제고에 기여하게 되고생명윤리 논란을 불식하여 국민신뢰 및 공신력 있는 검증으로 국내연구에 대한 국제 신뢰를 회복할 것으로 예상되며또한해외 줄기세포주 분양 및 연구협력을 통한 국가협력연구의 창구역할을 담당할 것으로 기대된다.아울러 보건복지가족부는 중장기적으로 줄기세포주 등록제 시행을 계기로 줄기세포주 등록·배양 및 분양 까지 포함하는 줄기세포주 은행의 설립과 줄기세포주를 이용한 세포·재생조직치료 기술의 안정성과 경쟁력 확보를 위한 재생의학연구센터의 설립도 지속적으로 추진해 나갈 계획이다.,2010-01-04
990,보건복지가족부 질병관리본부(본부장 이종구)는 2010년 1월부터 희귀난치성질환자 의료비지원사업 대상질환을 확대한다고 밝혔다.희귀난치성질환자 의료비지원사업은 건강보험가입자 중 최저생계비와 최고재산액의 300% 미만인 경우*에 대하여 요양급여비용 중 본인부담금에 대한 의료비를 전액 지원하는 사업이다.* 4인 가구 중소도시 기준으로 소득기준 4 089 273원재산기준 200 064 102원 미만으로 세부지원 대상은 질환 및 도시규모별로 구분됨질병관리본부는 이 사업의 대상질환에 2010년 1월부터 지중해빈혈(D56)단일심실 등 선천성기형을 비롯한 21종(93개)질환을 추가하여 의료비 지원대상 질환이 총 132종 질환으로 확대된다고 밝혔다.※ 2009년 현재 111종 질환에 대한 의료비지원사업 시행 중2009년 12월말 현재 희귀난치성질환자 의료비지원사업 대상자는 28 900명으로 대상질환에 21종이 추가되면 약 5 000여 명의 환자가 추가로 혜택을 받을 것으로 추정된다.※ 21종에 대한 희귀난치성질환 건강보험특례등록자 수는 약 7 000명으로 이 중 약 70%의 환자가 소득재산기준을 만족할 것으로 추정2010년 희귀난치성질환자 의료비지원사업 확대질환은 보건소나 보건복지콜센터(129번) 및 희귀난치성질환헬프라인(http://helpline.cdc.go.kr)에서 확인할 수 있으며 의료비 지원 신청은 거주지 관할 보건소에서 가능하다.또한헬프라인에서는 희귀난치성 질환정보를 포함하여 희귀난치성질환자 의료비지원사업과 관련된 내용을 확인할 수 있다.,2010-01-04
992,2010.1.4일자 중앙일보 “금연운동 매년 300억 쓰는데... 남성 흡연율은 다시 올라가” 기사에 대해 다음과 같이 설명합니다※ 2009년 하반기 흡연율 실태조사 관련 보도자료: 1.5.(화) 배포 예정[기사 주요내용]2006년 이후 매년 금연정책에 300억원 안팎의 예산을 쓰고 있는데9년째 계속 줄던 성인 남성 흡연율은 2008년 하반기 이후 상승세로 반전[보건복지부 해명내용]“금연정책에 300억원 안팎의 예산을 쓰고 있는데”에 대해서예산이 주로 쓰이는 보건소 금연클리닉에 ’07년부터 ’09년 9월까지 약 100만명(총 978 109명)의 흡연자가 등록하여 이용하고 있으며’09년 9월 현재4주 금연성공률이 77.9%6개월 성공률은 47.6% 로 지난 3년간 가장 높은 성공률을 보여주고 있음※ 금연사업 : 금연 홍보 및 보건소 금연클리닉금연상담전화 등 금연지원프로그램청소년을 위한 학교흡연예방교육군ㆍ전의경 대상 금연지원사업 등아울러 정부는 흡연경고 그림 도입금연구역 확대 등 비가격 정책을 더욱 강력히 추진할 계획임※ 2009년 하반기 흡연율 실태조사 관련 보도자료: 1.5.(화) 배포 예정,2010-01-04
995,[2008년 암 진료환자 분석 주요 내용]2008년도 건강보험 전체 암 진료환자수 55만226명전년보다 12.3%↑65세 이상20만9 753명으로 38.1% 차지남자 : ①위암>②대장암>③간암>④폐암>⑤전립샘암 順여자 : ①유방암>②갑상샘암>③위암>④대장암>⑤자궁경부암 順암 진료환자 건강보험 급여비(2조5 934억원) … 진료비(2조9 286억원)건강보험 급여비 2001년 6 416억원 → 2008년 2조5 934억원7년간 증가율 4.04배2008년 건강보험 전체 급여비의 9.7% 차지①대장암 > ②위암 > ③폐암 > ④간암 > ⑤유방암 順2008년도 건강보험 신규 암 진료환자수 14만2 879명전년보다 3.9%↑인구 10만명당 297명 … 남자(298명)여자(295명) 비슷인구 10만명당 경기도 최고(331명)전북 최저(277명)시․도별 연령표준화 할 경우울산 최고(438명)전북 최저(237명)암 진료환자 1인당 1년간 급여비(2007년 신규 암환자 기준)건강보험 급여비 평균 약 974만원 … 진료비(1 096만원)①백혈병(3 542만원)>②다발성골수종(2 017만원)>③비호지킨림프종(1 885만원) 順,2010-01-04
996,보건복지가족부(장관 전재희)는 2010년 1월 4일부터 행복e음(사회복지통합관리망)이 본격 운영된다고 밝혔다.사회복지통합관리망은 지자체 공무원들의 복지행정업무 처리를 지원하는 정보시스템으로서지자체에서 집행하는 약 120여개의 복지급여 및 서비스 이력을 개인별.가구별로 통합 관리하게 된다.* 은 사회복지통합관리망의 새로운 이름으로 “국민들께 행복을 전해주고 이어주는 정보시스템”이라는 의미(실 사용자인 지자체 공무원 설문조사를 통해 결정)사회복지통합관리망 운영으로 지자체의 복지대상자 선정이 보다 정확하고 효율적으로 이루어지게 되고국민들에게는 꼭 필요한 서비스가 누락되지 않고 더 나은 서비스를 제공하게 되는 등 우리나라 복지행정의 획기적인 변화를 가져올 것으로 기대된다.(소득ㆍ재산조사 기준의 통합) 그 동안은 각 복지사업별 소득.재산조사가 달라 지자체 복지담당의 업무가 과중되어 주민을 찾아가서 필요한 서비스를 제공하지 못하였다.사회복지통합관리망에서는 자산조사 방법을 통일하여 한번 조사하면 여러 사업에서 공동 활용할 수 있게 하여 지자체 복지 담당자에게 가장 큰 업무부담이 되던 조사업무를 효율화하였다.(공적자료 연계 확대) 27개 기관 215종의 소득ㆍ재산자료서비스 인력인적변동 사항 등을 연계하여 각 지자체에서 제공하므로써 복지대상자의 정확한 선정 및 사후관리 실시도 가능해진다.공적자료 조회에 걸리는 시간도 그동안 최대 14일에서 3일이내로 단축시켜 보장결정은 더욱 신속하게 처리할 수 있게 한다.찾아가는 서비스) 사회복지통합관리망을 통한 효율적이고 일관성 있는 일처리로 일선 공무원은 행정업무를 줄여 주민을 직접 찾아가서 상담하고 서비스를 제공하는 본연의 업무에 집중할 수 있는 여력을 확보할 수 있게 되었다.복지대상자의 복합적인 욕구를 근본적으로 해결하기 위해 공공서비스 뿐 아니라 민간 서비스도 연계하여 제공하는 사례관리도 지원한다.※ 대상자 발굴욕구조사서비스 제공계획 수립 등(맞춤형 서비스 안내) 거동이 불편한 노인실직으로 생활이 어려운 분들보육시설을 찾는 맞벌이 부부 등 국민 누구나 읍면동사무소를 방문하면 필요한 복지서비스를 맞춤형으로 제공받을 수 있게 된다.복지대상자의 연령 등의 변화로 추가 지원이 가능한 서비스가 발생할 때신청을 안내하여 서비스를 받을 수 있게 한다.(일괄신청 및 서류 감소) 또한 복지서비스 신청시에도 개별적으로 신청하는 것이 아니라 가구의 상황에 맞추어 한 번에 신청이 가능하므로 서비스 받기가 더욱 수월해진다.국민들이 제출해야 하는 서류도 줄어들고 민원처리도 더 신속해진다.※ 각종 서식 37종 → 6종으로 통합(공무원 부정소지 및 부정ㆍ중복 수급 방지) 더불어 복지급여 지급과정에서 지급내역의 임의 수정을 통한 부정 소지를 차단하고 실명확인을 통해 입금함으로써 재정의 투명성을 제고하였다.공적자료 연계확대개인별ㆍ가구별 서비스 내역 통합관리로 복지예산을 도움이 꼭 필요한 국민들에게 효과적으로 전달 될 수 있게 된다.전재희 장관은 “사회복지통합관리망은 맞춤 서비스로 가는 새로운 시스템이다. 지금까지 사회복지담당공무원들이 주로 복지급여를 지원하기 위해 기준에 해당되는지 안 되는지 조사하는 일에원문보기,2010-01-04
989,보건복지가족부(장관 전재희)가 전국 만19세 이상 성인 남녀 3 000명을 대상으로 2009년 하반기 흡연실태조사를 실시한 결과 남성흡연율이43.1%로 상반기 대비 2.0%p 증가한 것으로 나타났다.※ 성인 흡연율 현황 : 23.3%로 ’09년 6월 대비 1.2%p 소폭 상승남성 : (’08.12) 40.9% → (’09.6) 41.1% → (’09.12) 43.1%여성 : (’08.12)4.1% → (’09.6)3.6% → (’09.12) 3.9%이번 조사는 지난 12월 전국 성인 남녀 3 000명을 대상으로 전화설문을 통해 이루어졌으며 조사기간에 주말을 2회 포함하여 조사의 객관성 및 신뢰도를 제고하였다.(표본오차±1.79%95% 신뢰수준)흡연자의 흡연실태를 보면담배를 피우는 이유로는 “습관이 되어서”가 59.1%“스트레스가 많아서”가 32.6%로 상반기 결과(58.7%32.5%)와 비슷함최초 흡연연령은 21.0세로 0.2세 낮아졌고하루 한 개비 이상 규칙적 흡연시작연령은 21.8세로 상반기에 비해 지속 흡연자로 발전하는 기간 차이가 줄어듦※ (상반기) 최초 흡연연령: 21.2세규칙적 흡연시작연령: 22.2세현재 흡연자의 68.8%가 금연을 시도한 적이 있으며 그 이유로는 ‘건강이 나빠져서’가 63.8%로 가장 많았음보건복지가족부는 금연 홍보 및 보건소 금연클리닉금연상담전화 등 금연지원프로그램청소년을 위한 학교흡연예방교육군ㆍ전의경 대상 금연지원사업 등을 통해 흡연율 감소를 위해 노력해 왔다.’07년부터 ’09년 9월까지 약 100만명(총 978 109명)의 흡연자가 보건소 금연클리닉에 등록하여 이를 이용하고 있으며’09년 9월 현재4주 금연성공률이 77.9%6개월 성공률은 47.6%로 지난 3년간 가장 높은 성공률을 보여주고 있음’09년 8월 현재 65개의 지자체에서 지역의 특성에 맞게 버스정류장공원 등을 금연구역으로 지정하는 조례를 제정하여 간접흡연 예방을 위해 노력해 왔으며지속적으로 확산될 계획임보건복지가족부는 성인 남성흡연율이 다시 상승세를 타게 됨에 따라 다음과 같은 보다 적극적이고 강력한 금연정책을 추진해 나갈 계획이다.국회 계류 중인 비가격 금연정책 관련 국민건강증진법 개정안(13건)이 국회에서 통과되도록 적극 노력흡연의 폐해를 보다 쉽게 알릴 수 있는 흡연경고그림 도입PC방공원병원 등 공중이용시설의 전체 금연구역의 지정 및 지자체의 금연조례 제정 활성화마일드라이트 등 담배에 대한 오도문구 사용을 제한하는 등 담배 마케팅 전략(포장라벨광고)에 대한 규제 강화담배 관리 및 규제 관련 법제의 일원화20대 흡연율의 증가 및 최초 흡연에서 지속 흡연자로 발전하는 기간 차이가 줄어들게 됨에 따라 흡연초기 금연 홍보 및 금연지원서비스 확대여성ㆍ청소년 금연상담전화 핫라인 운영 및 금연보조 KIT 제공여성이 주로 모이는 문화센터여성이 주로 고용된 사업장(백화점대형마트 등) 위주의 금연교육 및 홍보 프로그램 실시상대적으로 흡연율은 높고 소득은 낮은 직업군(운수업숙박업 등)을 대상으로 금연약물 등 금연서비스 지원직장인 대원문보기,2010-01-05
987,2010년 1월 4일자 연합뉴스 “보육의 사각지대 한부모 가족 … 시설이용율 32% 불과” 기사 및 2010년 1월 5일자 중앙일보 “한부모 가족 느는데 기댈 데 없다” 기사에 대해 아래와 같이 설명합니다.[기사 주요내용]이혼사별 등으로 인한 한부모가족이 늘어나고 있으나이들에 대한 보육지원 정책 미비’09년 한부모가족의 3세 미만 영아보육시설 이용율은 32.1%로같은 기간 5세아동의 육아지원시설 이용률 88.8%보다 훨씬 낮음’09년 한부모가족의 3세 미만 영아보육시설 이용율은 32.1%로같은 기간 5세아동의 육아지원시설 이용률 88.8%보다 훨씬 낮음한부모가족은 최저생계비 130% 이하인 경우에만 보육시설 이용시 우선권을 부여하여 맞벌이가족보다 후순위[보건복지부 해명내용]전체 영유아 보육시설 이용 통계(’08.5월 기준)영유아의 보육시설 이용율은 영아가 37.7%유아가 79.8%(유치원 포함)로아동의 연령대가 높아질수록 이용율이 높아짐육아지원기관 이용율: 0세 22.2%1세 36%2세 55.3%3세 73.3%4세 79.2%5세 86.2% (’08년 말 기준)보육시설 미이용사유 중 영아는 “아이가 어려서”가 가장 높음(0세: 64.9%1세 32.4%)영아의 가정 양육을 지원하기 위한 양육수당(차상위 0～1세 아동에게 월 10만원 지원)아이돌보미사업 등 시행현재 한부모가족 중 보호자가 취업활동을 하는 경우는 “부모가 모두 취업 중인 영유아”에 포함하여 입소 우선순위 부여현행 영유아보육법령상한부모가족 중 국민기초생활보장 대상자한부모가족지원법에 따른 보호대상자(최저생계비 130% 이내)한부모가족의 부 또는 모가 취업중인 경우는 모두 입소 우선순위 대상임,2010-01-05
985,2010.1.6일자 서울신문의 “깎이고...사라지고...복지없는 복지예산” 에 대해 다음과 같이 해명합니다.기사 주요내용대통령 업무보고 예산 삭감대통령 업무보고 내용: 예산 100억원으로 간병서비스 단계적 제도화신종플루 노인 접종비 결국 ‘0’상임위에서 신종 플루 등의 여파 등을 고려해 증액한 신종플루 관련 예산 2 267억원 중 예결위에서 반영한 증액분은 134억에 그침상임위 증액 1조원 중 1 815억만 반영저출산 극복 관련 예산 증액분 392억원 중 10억원만 증액아동성범죄대책 관련 예산 증액분 56억원 미반영해명내용“대통령은 물론 국민을 상대로 허위계획을 보고한 셈이 됐다”는 보도내용은 사실과 다름보호자없는 병원의 경우 대통령 업무보고 예산이 삭감되었다는 것은 사실과 다름업무 보고의 주요 내용은 “서민의 부담이 큰 간병서비스의 단계적 제도화*”로서 보도 내용처럼 “예산 100억원”에 대한 내용은 포함되어 있지 않음1단계(‘10) : 보호자없는 병원 시범사업 실시업무범위.역할정립 등 제도화 기반구축2단계(‘11~) 간병서비스 재원조달방안예산 100억원은 상임위 의결액이지 대통령 업무보고와 직접 관련된 수치는 아님특히신종전염병 대응 관련 대통령 업무보고 예산이 삭감되었다는 것도 상임위 의결액과 대통령 업무보고 내용을 연계시킴으로서 생겨난 오해임먼저“시도검사기관 4 → 16개 확충” 내용은 금번 국회의결과정에서 60억원(12개소10억원/개소)이 증액되어 차질없이 추진 가능함“영.유아임산부노인만성질환자 등 1 913만명 예방접종”도 금년 2월 중 조기종식을 위해 현재 차질없이 추진 중에 있음보도 내용인 “노인만성질환자 예방 접종비 지원”은 예방접종 본인부담금 1만 5천원을 지원하는 것으로 재정 여건상 반영되지 못하였으나이를 업무보고 예산 삭감이라고 지적하는 것은 부적절“백신 민관연구개발 강화 및 백신제조공법 등 컨설팅 강화”는 “임기내 지속추진 과제”로 반드시 금년 예산으로 확보해야 하는 것은 아님“임기내 지속추진 과제” 중에서도 재정 여건을 고려우선순위가 있는 진단장비지원(15억원)고위험병원체관리 특수복합시설(39억원)국가재난형 질병 R＆D 투자(5억원) 등 증액 반영“격리병상 442개 → 1 102개로 확충”은 대유행시 격리병상․중환자실원문보기,2010-01-06
983,보건복지가족부는 저출산과 보육의 주무부처로 타 부처와 지자체를 선도할 수 있는 특단의 출산장려대책을 금년 1월부터 추진하기로 하였다.특단의 출산장려대책총 직원(%)기혼직원(%)총 자녀수평균 자녀수미혼직원(%)3 618명(100%)2 736명(75.6%)4 473명1.63명882명(24.4%)복지부는 2012년까지 평균자녀수를 2.0명까지 올리는 것을 목표로 삼고출산 및 양육에 유리한 근로형태·경력관리·교육·훈련·보육지원 등의 총체적인 출산장려책을 실시한다.첫째`직원들이 아이를 잘 돌보도록 근무시간을 다양하게 선택할 수 있도록 하였다.현재는 주5일 동안 탄력근무를 해야 하는데 앞으로는 주2일(월·금)주1일(월 또는 금)도 출근을 늦추거나 퇴근을 빨리할 수 있는 것이다.※ 대구나 광주에 있는 친정에 자녀를 맡겨놓고 주말에만 가보는 여직원이 탄력근무제를 월금만도 사용하게 해달라고 제안(’09.12.9육아직원간담회)둘째 임신이나 자녀 양육을 위하여 통상적인 주 40시간 근무보다 짧게 하루 최소 3시간 이상을 근무하는 시간제근무도 시행될 예정이다.급여는 근무시간에 비례하여 지급되는데금년은 질병관리본부와 본부 일부 국에서 시범운영한 후 단계적으로 확대할 예정이다.셋째만 1세 미만의 자녀를 둔 여성 공무원은 출근을 1시간 늦추거나 퇴근을 빨리하는 단축근무제도 실시된다.※ 현재는 만 1세미만이나 행정안전부와 협의를 통해 보육연령인 만 5세아까지 확대할 계획넷째임신출산휴가취학전 자녀를 둔 여직원 업무는 같은 과 직원이 업무를 공유하는 직무공유제도 시범 실시된다.둘째2자녀 이상을 둔 직원부터인사상 우대와 재정적 지원을 실시한다.출산·육아로 인한 인사상의 불이익을 없애기 위하여 출산휴가와 육아휴직자의 성과평가는 보통등급이상으로 평가할 계획이다.2자녀를 둔 직원은 승진시 특별가점을 0.5점부여하고 3자녀의 경우에는 1점의 특별가점을 부여한다.아울러다자녀출산을 장려하기 위하여 둘째아 출산시 200만원 셋째아는 300만원 상당의 출산장려포인트를 제공한다.셋째예비맘의 건강관리근무관리 등 모성관리가 강화된다.임신한 직원의 유산방지와 건강한 출산을 위하여 전 직원이 동참하여 건강근무 등에 산전관리프로그램원문보기,2010-01-07
981,중앙인플루엔자대책본부(본부장:전재희 장관)는 2010년 1주차(2009. 12.27~2010.1.2) ILI(인플루엔자 유사환자분율)가 9.97(잠정치)로 지난주 대비 24.18% 감소하였으며항바이러스제 처방(9 856건15.3%↓)집단 발생 사례(2건) 등 모든 지표들이 계속 하향세를 보이고 있다고 밝히고그러나 아직도 ILI가 높은 상황*이고변종의 등장이나 타미플루 내성 확산 우려는 상존하고 있으므로 유행이 종료될 때까지 신종플루 예방관리와 안전한 백신접종에 만전을 기할 것이라고 함* 최근 5년 각 절기 중 ILI 최고치최근 5년 각 절기 중 ILI 최고치연도‘04~’05절기‘05~’06절기‘06~’07절기‘07~’08절기‘08~’09절기‘09~’10절기(현재까지)‘10년 1주시기‘05년 18주‘05년 52주‘07년 1주‘08년 9주‘09년 1주‘09년 45주ILI 최고치6.9611.528.739.6017.6344.969.97(잠정)대책본부는 신종플루 예방접종과 관련6개월 미만 영아 보호자(영아 1인당 2인까지 가능)와 만성질환자(심평원“접종안내문&rd원문보기,2010-01-07
