,내용,등록일
1739,제2기(‘ 15∼’ 17년) 전문병원 111개 병원 지정의료 질 평가의료기관 인증여부를 새롭게 적용하여 지정보건복지부(장관 문형표)는 특정 질환이나 진료과목에 전문화된 의료서비스를 제공하는 111개 병원을 ‘ 전문병원’ 으로 지정(‘ 15.1.1∼’ 17.12.31)한다고 발표했다.‘ 11년 11월부터 지정․운영한 1기 전문병원(99개) 보다 12개 기관이 증가하였다.* 신규 전문병원으로 32개 의료기관 지정지정결과를 보면 관절(8개)뇌혈관(3개)산부인과(3개) 분야 등이 증가하였으며수지접합(△2개)한방중풍(△3개) 분야 등은 감소하였다.<질환별․진료과목별 전문병원 지정 현황><질환별․진료과목별 전문병원 지정 현황>구 분기관수구 분기관수1기2기1기2기질환관절1018진료 과목주산기(신규)-3정형외과4산부인과1316뇌혈관14소아청소년과2-신경외과1신경과11대장항문원문보기,2015-01-01
1736,"에볼라 대응 긴급구호대 의료진 1명유럽지역으로 후송 추진1. 시에라리온 에볼라 대응을 위해 파견된 긴급구호대 1진(총 10명)중 1명이 12.30 오전(한국시간) 에볼라 환자를 치료하던 중 에볼라 바이러스에 노출될 수 있는 상황이 발생하였으며정부는 WHO측과의 협력을 통해 1.3(토) 오전(한국시간) 동 의료대원을 독일로 후송 한 후에볼라 바이러스 잠복기간(통상 21일)동안 감염여부를 면밀히 관찰하고동 의료대원이 무사히 잠복기를 보낸 뒤 건강하게 가족의 품으로 돌아올 수 있도록 만반의 대책을 강구중이다.동 의료대원은 우리 긴급구호대 근무지인 프리타운 인근 가더리치 에볼라치료소(ETC)에서 에볼라 환자의 채혈 도중왼쪽 두 번째 손가락 부위 장갑이 찢어지고 동 부위가 주사바늘에 닿는 상황이 발생하였으나현재까지 피부손상을 포함하여 특별한 외상 및 에볼라 감염 증상(발열구토 등)은 없는 상황* 동 의료대원 후송에는 기존 한-미 MOU에 따라 미국 에어 앰뷸런스인 Phoenix Air 활용2. 정부는 상황 발생 직후 외교부에 설치된 긴급구호본부를 중심으로 현지에 파견된 긴급구호대 지원대를 통해 동 의료대원의 감염여부를 면밀히 파악하는 동시에가더리치 ETC의 운영주체인 “Emergency(이탈리아 NGO)""와 감염 가능성에 대비한 대응방안을 긴밀하게 협의하였다.Emergency 소속 의료진과 시에라리온 내 국제인력의 에볼라 위기대응을 총괄 조정하고 있는 영국 개발협력부(DFID) 파견 의료진은 동 의료대원의 감염여부를 수차례에 걸쳐 점검한 후특별한 증상은 나타나지 않으나 에볼라 바이러스에 노출 가능성이 있기 때문에의료활동을 중단하고 감염 여부를 지켜보는 것이 필요하다는 의견을 제시하면서제3국으로 후송하여 에볼라 바이러스 잠복기간 동안 관찰하는 방안을 제안정부는 우리 의료진의 안전을 최우선적으로 보장한다는 원칙하에△긴급구호대의 현지 상황보고△Emergency와 DFID 현지 의료진의 진단 및 긴급구호 의료대장의 의견 △관계부처간 협의 결과를 토대로12.31 동 의료대원의 제3국(유럽지역) 후송을 결정하고WHO를 통한 후송절차를 개시한 결과1.1 오전 (한국시간) 독일 소재 에볼라 치료병원에서 우리 의료대원의 수용의사를 표명에볼라대응 긴급구호본부는 현재 시에라리온에 파견된 긴급구호대 지원대 및 관련 재외공관과 대응 체계를 정비하여우리 의료대원의 안전한 후송 및 격리관찰기간 동안 대책에 만전을 기하고 있는 상황3. 2014.12.21 시에라리온 현지에 파견된 우리 긴급구호대 의료진은 현재 가더리치 ETC에 파견된 미국이탈리아 등 다른 국적의 의료진과 함께 에볼라 환자 치료활동을 적극적으로 전개중이며정부는 긴급구호대 활동이 큰 성과를 거두는 동시에 의료인력의 안전이 담보될 수 있도록 지속 노력 예정이다. 끝.",2015-01-02
1734,미용실‧숙박업 폐업신고 세무서나 구청 한 곳에서 가능1. 5일부터 폐업신고 절차 확 줄여미용실을 운영하던 A씨는 사업을 정리하고자 세무서에 사업자등록 폐업신고를 했다. 한참 후 구청에서 같은 장소에 다른 미용실이 들어오려고 하는데A씨가 구청에 폐업신고를 하지 않아 민원이 제기되었고 직권 말소하겠다는 통보를 받았다. 세무서 외에 구청에도 폐업신고를 해야 하는 줄 몰랐던 A씨는 폐업신고 절차가 하루빨리 개선되었으면 좋겠다고 생각했다.앞으로는 이‧미용업세탁업숙박업 등 공중위생업종의 폐업신고를 시‧군‧구청 또는 세무서 중 1곳에서 할 수 있게 된다.이에 따라 폐업신고를 하기 위해 시‧군‧구청과 세무서를 각각 방문해야 했던 민원인의 불편이 해소될 전망이다.행정자치부보건복지부국세청은 1월 5일부터 폐업신고 간소화 제도를 「공중위생관리법」상의 인‧허가 업종으로 확대하여 시행한다고 밝혔다.민원인이 시‧군‧구청이나 세무서 중 가까운 곳에 영업허가 폐업신고서와 사업자등록 폐업신고서를 제출하면 행정기관 간 연계된 시스템을 통해 자동으로 전송되어 처리된다.폐업신고 간소화 제도는 부처 간 공유‧협업을 통해 국민 불편을 해소한다는 정부 3.0의 가치를 반영한 결과물이다.2013년 12월 13일 「식품위생법」「감염범의 예방 및 관리에 관한 법률」상의 인‧허가 업종에 대하여 최초로 실시되었으며국민 생활과 밀접한 연관이 있는 업종으로 계속 확대한다는 부처 간의 공감대를 바탕으로 「공중위생관리법」상의 인‧허가 업종으로 확대 시행하게 되었다.이번에 폐업신고 간소화 제도의 대상이 된 공중위생업에는 숙박업‧목욕장업‧이용업‧미용업‧세탁업‧위생관리용역업이 포함되어 있다.공중위생업에 종사하는 사업자 수는 2013년 사업자등록 기준으로 약 17만 7천명에 이르고 있으며2013년 한 해 약 2만 3천건의 폐업신고가 이루어졌다.공중위생업에 종사자 수구분식품위생법감염‧소득법공중위생관리법합계사업자수68014177871폐업자수168223193(22%)* 괄호는 전체 사업자수 및 폐업자수 대비 비율정부는 앞으로원문보기,2015-01-04
1732,폐 망가지는 만성폐쇄성폐질환(COPD)최근 진료인원 감소 추세최선의 예방책은 ‘ 금연’ … 성인 흡연률 27.2%(2009) → 25.8%(2012)건강보험심사평가원(원장 손명세)은 새해 담뱃값 인상금연구역 확대 등 금연에 대한 관심이 증가됨에 따라 최근 5년간(2009∼2013년)의 건강보험 및 의료급여 심사 결정 자료를 이용하여 ‘ 만성폐쇄성폐질환(J42∼J44)’ 에 대해 분석한 결과진료인원은 2009년 약 71만 6천명에서 2013년 약 65만 9천명으로 5년간 약 5만 7천명(-7.9%)이 감소하였으며연평균 증가율은 -2.0%로 나타났다.총진료비는 2009년 약 1 365억원에서 2013년 약 1 520억원으로 5년간 약 155억원(11.3%)이 증가하였으며연평균 증가율은 2.7%로 나타났다.그림1. <만성폐쇄성폐질환> 진료인원 및 총 진료비 추이 (2009년∼2013년) - 첨부파일 참조표1. <만성폐쇄성폐질환> 성별 진료인원 및 총진료비 현황 (2009년∼2013년)<만성폐쇄성폐질환> 성별 진료인원 및 총진료비 현황 (2009년∼2013년)구 분2009년2010년2011년2012년2013년진료인원 (명)계715 604670 946687 378735 936658 791남361 613348 742359 264386 126353 586여353 991322 204328 114349 810305 205총진료비 (천원)계136 547 089137 002 790142 952 268155 197 762152 041 872남88 462 59591 444 10895 756 746103원문보기,2015-01-04
1729,‘ 환자 이송 빨라졌지만 수술까지 시간변화 없어’국민일보 기사는 사실과 다름을 밝힘☞ 1월 5일자 국민일보 H4면 관련기사 주요내용정부가 예방 가능한 외상 사망률을 줄이기 위해 권역외상센터를 지정운용하고 있지만 국내 중증외상치료의 현실은 달라진 게 없다는 지적해명내용‘ 병원도착 후 수술시간까지의 시간까지 변화가 없어’ 에 대하여동기사는 2011년도 ‘ 우리나라 외상의료체계 현황 분석과 발전 방안 모색’연구를 인용한 것으로 권역외상센터 선정 사업은 2012년부터 시작* 2014. 2월 목포한국병원 개소를 시작으로현재까지 총 3개소(목포한국병원가천대길병원단국대병원) 개소권역외상센터 본격 개소 후병원도착 후 수술까지의 시간이 단축된 것으로 나타남<※ 권역외상센터* 중증외상환자 병원도착 후 수술까지 소요 시간><※ 권역외상센터* 중증외상환자 병원도착 후 수술까지 소요 시간>구분2011 권역응급의료센터2014 권역외상센터*시간331분202분* ’ 14년 개소된 3개 권역외상센터(목포한국병원(’ 14.2월)가천대길병원(’ 14.7월)단국대병원(1’ 4.11월))를 대상으로 추출한 것으로실제 데이터는 2015년부터 본격 생성됨‘ 예산의 상당부분이 환자 이송을 위한 헬리콥터 구매에 들어가나구급헬기가 필요한 이송사례 적어’ 에 대하여닥터헬기는 외상환자 뿐 아니라 실제 도서․산간 등 취약지역 응급환자 이송을 위한 효과적 수단이며헬기를 통한 응급환자 이송실적은 지속적으로 증가하고 있음<※ 응급의료 전용실적 기 운항실적>(단위: 건)<※ 응급의료 전용실적 기 운항실적>연도소계’11년 도입원문보기,2015-01-05
1731,"보건복지부대한노인회와 노인학대예방체계 구축을 위한 업무협약 체결노인전문교육원 건립효 실천 장려 협약도 체결보건복지부(장관 문형표)는 1월 5일(월) 대한노인회(회장 이심)와 노인학대예방체계 구축을 위한 업무협약(MOU)을 체결했다.이번 업무협약은 지난 10월 29일(수) 사회보장위원회에서 발표한『노인학대방지 종합대책』의 일환으로전국의 63천여개의 경로당을 ""학대노인 지킴이센터""로 지정·운영 하여 지역사회 중심의 예방체계를 강화하고자 하는 것이다.경로당 이용 어르신이 지역에 거주하는 학대피해노인을 발굴·신고하는 노인학대예방 시스템을 구축하는 것으로노인학대 징후 발견 시 지체 없이 노인보호전문기관에 신고하여 노인학대 지킴이로서의 역할을 수행하도록 하는 것이다.이를 위해 전국 경로당에 노인학대를 예방하고 발견시 대처방법을 안내하는 노인학대예방 포스터를 제작 및 배포하며‘ 학대노인 지킴이센터’현판을 부착하여 지역사회에 노인학대예방을 위한 신고의식을 고취할 예정이다.또한 보건복지부와 대한노인회 및 ㈜부영(회장 이중근)은 노인전문교육원 건립 및 효 실천 운동 장려 업무협약도 체결했다노인전문교육원은 노인 인적자원을 개발하여 국가발전에 지속적으로 기여할 수 있는 노인사회를 만들어 나가기 위한 것으로서 보건복지부가 부지를 제공하고㈜부영이 건축비를 부담하며대한노인회가 교육․운영하도록 할 예정이며효실천 운동 장려협약은 보건복지부가 효실천 운동을 장려․지원하고㈜부영이 올바른 효실천 도서를 제작하여 노인복지 관련 단체 등에 보급하도록 하며대한노인회가 청소년들이 효실천운동에 적극 참여토록 하는 것을 주요 내용으로 하고 있다.",2015-01-05
1730,아동권익 보호를 위한 입양기관 행정처분 기준 강화「입양특례법 시행규칙 일부개정령안」 공포·시행보건복지부(장관 문형표)는 입양기관 의무 위반 시 행정처분 기준을 강화하는 등의 내용을 담은 「입양특례법 시행규칙 개정령안」을 1월 6일에 공포·시행한다고 밝혔다.개정된 입양특례법 시행규칙의 주요 내용은 다음과 같다.① 입양기관 의무 위반 시 행정처분 기준 강화(안 별표2)국내입양 우선 추진 등 핵심 의무사항* 위반 시 바로 업무정지 처분이 가능하도록 하여 입양아동 권익 보호를 강화**함* 원가정 보호 노력국내입양 우선 추진예비 양친·양자 조사의 진실성입양 후 1년간 사후관리** 기존에는 모든 위반사항에 대해 1차 위반 시 경고처분에 그침② 장애입양아동의 양육수당 신청 시 첨부서류 간소화(안 제28조)「장애인복지법」에 따라 장애인 등록을 한 아동의 경우 민원인이 장애아동 증명 서류를 별도로 제출하지 않아도 공무원이 행정정보공유를 통해 장애아임을 확인하도록 하여 편의성 증대보건복지부 관계자는 이번 시행규칙 개정 이후에도 입양아동의 권익을 강화하기 위한 제도 개선 노력을 지속할 것이라고 밝혔다.,2015-01-05
1728,문형표 복지부장관국립암센터 암병동 등 현장 행보중증질환 보장 등 의료비 부담 경감 정책 및 금연정책 현장 점검문형표 보건복지부 장관은 그간 추진해온 의료비 부담 경감 정책의 현장 체감 효과를 파악하고금연상담전화 활동 현황을 점검하기 위해 1월 5일(화) 14:30분 경기도 일산의 국립암센터를 방문한다.보건복지부는 박근혜 정부 핵심 국정과제인 4대 중증질환에 대한 보장성 확대와 함께 의료비 부담의 주요 요인으로 지적되어온 3대 비급여 개선을 추진 중으로국립암센터 진료 환자의 의료비 분석 결과실제 체감할만한 환자 부담 의료비 감소 효과가 있는 것으로 나타났다.특히선택진료비 축소 개편이 시행된 ’14.8월 이후에는 암센터 전체 진료비 중 환자 부담 의료비 비율이 32%→29%로 감소했으며대장·혈액종양내과흉부외과 등의 1인당 총 진료비 중 환자 부담 비율은 전년 동기 대비 각각 27%→22%33%→26% 등으로 감소한 것으로 나타났다.실제 사례에서는 의료비 경감 효과가 더 컸는데대장암센터 항암치료환자(아바스틴 투약)의 경우환자 부담 의료비가 259만원→10만원으로 96%가량 감소했고폐암센터 수술(폐엽절제술) 환자의 경우 선택진료 개편 전에 비해 291만원→205만원으로 29%선택진료비는 157만원→114만원으로 28% 감소하였다.문 장관은 이와 같은 진료비 경감 효과에 대해 브리핑을 받은 후암병동을 직접 방문암 치료를 위해 입원 중인 환자를 만나 정책 효과에 대한 의견을 청취할 예정이다.이와 함께담뱃값 인상 등 금연정책 강화로 새해에 흡연자들의 금연 의지가 높아질 것에 대비보건소 금연클리닉금연상담전화 서비스 인력을 2배 확대하고원활한 서비스가 제공되는지를 점검하기 위해 금연상담전화를 찾았다.* 국내 흡연자의 금연 지원과 흡연예방을 통한 건강 증진을 위해 06년부터 설립·운영 중국립암센터 검진동에 위치금연상담전화는 365일 금연상담전화를 운영하고주중 상담시간을 20시→22시까지로 확대 하여 금연을 원하는 이용자들에 대한 상담 지원을 강화할 계획라고 밝혔다.문 장관은 “새해 금연을 결심한 흡연자들이 생활 속에서 쉽게 접근할 수 있는 금연상담전화(1544-9030) 및 보건소 금연클리닉을 확대하고향후 가까운 병의원에서도 금연상담‧치료를 받을 수 있게 하고 이를 건강보험이 적용이 되도록 하는 등 모든 수단을 동원하여 흡연자들의 금연을 지원하겠다“고 말했다.한편지난 12월 본회의에서 끝내 통과되지 못한 대표적인 비가격 정책인 담뱃갑 경고그림에 대해서도“담뱃값 인상으로 인한 흡연율이 낮아지는 효과는 반드시 강력한 비가격 정책이 병행되어야 지속될 수 있다”는 점을 강조하며“현재 국회에 계류되어 있는 경고그림 부착을 의무화하는 국민건강증진법 개정안이 상임위에서 조속히 논의될 수 있도록 최선을 다해 협의 하겠다”는 의지를 보였다.또한 담뱃값 인상의 가격효과가 지속될 수 있도록 하기 위해서는 물가연동제의 입법도 시급하다고 보고관련 입법 추진을 국회와 긴밀히 협의하겠다는 입장을 밝혔다.참고로국립암센터에서는 말기암환자를 위한 정부의 완화의료 수가 제도화(하반기 시행예정) 등 활성화 노력에 맞춰올해 상반기 중에 기존 병상을 말기암환자를 위한 완화의료 10병상 (임종실원문보기,2015-01-06
1726,보건복지부-롯데그룹 사회복지시설 종사자 재충전 프로그램 협약 체결복지시설에 근무하는 워킹맘을 위한 ‘mom(맘) 편한 힐링 타임’ 5년간 지원보건복지부 장옥주 차관과 롯데그룹 소진세 대외협력단장은 사회복지시설에서 근무하는 여성종사자들에게 재충전의 기회를 제공하기 위한 ‘mom(맘) 편한 힐링 타임’ 사업 협약을 체결하였다.2014년 시범적으로 시작된 ‘mom(맘) 편한 힐링 타임’ 사업은 정신감정노동에 장시간 노출된 사회복지시설 여성종사자에 대하여 개인 역량강화 교육자녀동반 여가시간문화체험 등 재충전 프로그램을 제공하는 것으로 롯데그룹의 사회공헌활동 사업이다.※ ‘14년 ‘mom(맘) 편한 힐링 타임’ 시범사업 현황(대상) 6~10세 자녀를 둔 사회복지시설 여성종사자 150명(자녀 포함 시 300명)(기간/장소) ‘14.9.25 ~ 10.17롯데부여리조트* 권역별로 3회로 나누어 각 1박 2일 실시(프로그램) 힐링강의문화체험아동과 과자집 만들기물놀이맘편한 이야기 등(소요경비) 1억원시범사업에서 사회복지시설 종사자 및 참가자들로부터 큰 호응과 계속적인 사업 진행을 요청받고사업 규모 확대와 중장기적 사업추진을 위하여 이번에 상호협약을 체결하게 되었다.보건복지부와 롯데그룹은 협약서에서 복지전달체계의 최접점에 있는 사회복지시설 종사자들의 중요성에 인식을 같이하면서보건복지부는 사회복지시설 여성 종사자(참가자) 선정과 프로그램 개발 및 운영을 지원하고롯데그룹은 동 사업에 소요되는 제반 경비를 2015년부터 향후 5년간 지원하면서 자사 사회공헌 브랜드인 ‘mom(맘) 편한’을 활용한다.,2015-01-06
1725,전자담배금연보조제가 아닌 담배입니다!복지부전자담배 기체상 발암성분 공개 및 추가 분석 실시 계획보건복지부(장관 문형표)는 최근 확산 추세인 전자담배에 대해 일반담배와 동일한 발암성분이 들어 있다고 말하며금연보조효과가 있다고 홍보하는 것에 대해 강력히 단속하겠다고 밝혔다.보건복지부는 전자담배 기체상에 대한 분석에서 발암 물질인 포름알데히드아세트알데히드담배특이니트로사민과 중독 물질인 니코틴 등이 검출되었다고 발표하였다.* 2011년도 액상 연구에 대해서는 기보도된 바 있으나2012년도 전자담배 기체상 정책연구용역 발표는 최초임국내에서 유통되고 있는 전자담배 니코틴 액상 105개 종류의 유해 성분을 분석하여이 중 비교적 높은 농도로 오염되어 있는 액상 30개의 기체상 독성 및 발암물질을 분석한 결과는 다음과 같다.전자담배 30개 종류의 액상에 대한 기체상 니코틴 함량은 1.18~6.35g/㎥ 범위(평균 2.83g/㎥)로연초 담배 1개비 니코틴 함량과 비교할 때 약 2배 정도이며니코틴에 의한 성인 치사량이 35-65mg인 것을 고려하면가장 높은 니코틴 함량의 전자담배를 약 150회 흡입할 경우 치사량에 해당하는 수준이다.전자담배 기체상 분석시일급 발암물질인 포름알데히드아세트알데히드담배특이니트로사민이 연초담배보다는 낮은 수준으로 검출 되었으나전자담배는 연초 담배와는 달리 사용 용량에 제한을 갖기가 어렵고흡연 습관에 따라서는 일반 담배보다 니코틴 흡수량이 더 많을 수 있어서 안심할 수 있는 수준은 아니라고 밝혔다.2014년 일본 국립 보건의료 과학원 연구팀이 일본에서 유통되는 전자담배 기체상에 포함돼 있는 성분을 분석한 결과는 발암물질인 포름알데히드와 아세트알데히드 등이 검출되었으며연초 담배보다 포름알데히드가 최대 10배 많았다고 발표했다. 포름알데히드는 새집증후군 문제로도 잘 알려진 발암성 물질이다.세계보건기구(WHO)는 전자담배의 안전성에 대해 어떠한 과학적 결론도 내릴 수 없는 상황에서 업계가 전자담배를 금연 보조의 수단으로 판촉‧광고하지 않도록 정부의 규제가 필요하며WHO 및 국가에서 공인된 금연보조 수단(니코틴패치금연보조약물 등)은 중독을 야기하지 않는 방법으로 니코틴을 흡수시켜 금단 현상을 최소화하고 금연을 돕지만전자담배의 경우 단시간에 니코틴에 노출되기 때문에 담배와 유사한 중독성을 야기할 수 있어 금연 보조제로 보기 어렵다는 입장이다.또한 전자담배를 통한 니코틴 흡입이 사용자의 흡연 습관이나 니코틴 용액 농도에 따라 편차가 매우 크며니코틴은 중독 물질로서 심혈관계 질환을 유발하고 임산부에게 건강상 악영향을 미칠 수 있다고 전했다.이같은 전자담배의 건강상 위해로 인해 싱가포르브라질 등 13개국에서 전자담배 판매를 금지하고 있으며우리나라를 비롯한 30개국이 실내 공공장소에서 전자담배 사용을 규제하고 있는 것으로 나타났다. (2014 WHO FCTC 이행보고)보건복지부 관계자는 전자담배는 궐련(연초담배)과 동일한 담배제품으로 접근해야하며담배에 있는 각종 발암성분이 유사하게 검출되며간접흡연의 위해를 주므로 실내에서 사용할 수 없는 것은 물론금연 보조수단으로 생각하고 이용해서는 안된다는 입장을 분명히 하였다.특히 전자담배는 청소년들이 흡연 행위를 모방하고결과적으로니코틴 중독을 일으켜 담배 사용으로 이어지게 한다는 점에서 청소년들의 전자담배 이용은 불가하며이미 2011년 여성가족부 고시로 청소년유해물건으로 지정된 상태라고 말했다.대부분의 전자담배가 지자체에 수입신고만 하면 판매가 가능한 상황으로기본적인 제품 품질과 안전성 미비로 니코틴 중독 위험성 등원문보기,2015-01-06
