,내용,등록일
1267,□보건복지부 장관(변재진) 소속 「장기요양위원회」(위원장 보건복지부 차관 문창진)는 내년 7월 시행예정인 노인장기요양보험제도와 관련31일 3차 전체회의를 열어 급여종류별 수가를심의하고,2008-01-02
1260,"보도설명자료2007. 12. 31 일자 파이낸셜뉴스의 “의료인에게 하나의 의료기관만 개설진료를 하도록 규정한 의료법 관련규정은 헌법에 합치되지 않아 위헌”이라는 기사에 대하여 다음과 같이 설명합니다.기사 주요 내용의료인은 하나의 의료기관만을 개설할 수 있도록 규정한 의료법 33조 2항은 위헌이라며 낸 헌법소원에서 재판관 7대 2의 의견으로 헌법불합치 결정2008년 12월 31일까지 입법자가 개정하도록 했으며 이 기간에는 의료법 33조 2항을 계속 적용하도록 결정설 명 내용헌법재판소가 판결 주문에서 의료법 제33조 제2항 단서의 “의료인은 하나의 의료기관만을 개설할 수 있으며” 부분은 헌법에 합치되지 않는다고 하여 마치 의료인의 복수의료기관 개설권 제한이 위헌인 것으로 보여지나판결 이유에서 “복수면허 의료인들에게 단수면허 의료인과 같이 하나의 의료기관만을 개설할 수 있다고 한 이 사건 법률조항은 ‘다른 것을 같게’ 대우하는 것으로 합리적인 이유를 찾기 어렵다” 라고 설시함에 따라 위헌결정의 효력은 복수면허자의 경우에 한정되는 것임.보건복지부가 2007년 5월 16일 국회에 제출한 「의료법 전부개정 법률안」에는 의료인의 자율성을 제고하고양․한방 협진체계를 활성화하기 위하여“양․한방 복수 의료인 면허 소지자가 의원급 의료기관을 개설하는 경우에는 해당 의료기관에서 면허된 범위의 의료행위가 가능하여 허용”하고의료기관 명칭을 표시하는 경우에도 “의원급 의료기관이 면허 종별에 따른 종별명칭을 함께 사용” 할 수 있도록 하는 내용을 이미 포함하여위헌적인 요소를 이미 해소하였음.다만헌법재판소가 판결 주문에서 의료기관개설에 관련 조항에 대하여 헌법불합치 결정을 내림에 따라 향후 입법과정에서 이러한 판결취지에 부합하도록 구체적인 조문 정리 작업이 필요함.관련 개정안제50조(의원급 의료기관 개설)① 제49조제1항 각 호의 어느 하나에 해당하는 자가 의원급 의료기관을 개설하려는 경우에는 보건복지부령으로 정하는 바에 따라 시장․군수․구청장에게 신고하여야 한다.② 제49조제1항제1호에 해당하는 의료인은 대통령령으로 정하는 바에 따라 의원급 의료기관을 의과병원․치과병원․한방병원 안에 개설할 수 있다. 이 경우 의원급 의료기관을 개설하려는 의료인은 보건복지부령으로 정하는 바에 따라 시장․군수․구청장에게 신고하여야 한다.③ 제49조제1항제1호에 해당하는 의료인으로서 2개 이상의 의료인 면허를 소지한 자가 의원급 의료기관을 개설하는 경우에는 해당 의료기관에서 면허된 범위의 의료행위를 할 수 있다.제55조(의료기관 명칭)원문보기목록으로페이지 만족도 조사만족도 평가이 페이지에서 제공하는 정보에 얼마나 만족하십니까?매우만족만족보통불만족매우불만족등록정부24 개선의견일반적이고 원론적인 의견, 단순건의 사항이 아닌 정부24에서 제공하는개별서비스에 관한 창의적이고 구체적인 제도개선에 대해 의견을 주시는 국민 소통 창구입니다.의견을 주시면 소관 부처와 연계 개선해 나가겠습니다.국민 신문고법령, 제도, 절차 등 행정업무에 관한 질의 또는 설명이나 해석의 요구는 국민신문고를 이용해 ",2008-01-02
1262,2008 신년사국민여러분그리고 보건복지가족 여러분!2008년 희망찬 새 아침이 밝았습니다.무자년(戊子年) 새해를 맞이하여 여러분께 건강과 행복이 항상 함께 하시기를 기원합니다.,2008-01-02
1266,󰊱 국회에서 달라진 내용내년도 보건복지부 소관 예산안에 대해 국회에서 심사한 결과 당초 정부안 대비 총 803억원을 감액․조정하였다.주요 감액사업은낙후지역 기업에 대한 건강보험료 지원(568억원)은  낙후지역으로 기업의 이전 가능성이 높지 않다는 점이 지적되어 반영되지 않,2008-01-02
1264,□ 보건복지부는 12월 27일 2007년도 제6차 국민연금기금운용위원회(위원장 : 변재진 보건복지부장관)를 열고ㅇ 2008년도 위탁운용 목표 비중을 23%(약56조 8천억원)로 확대하는 내용의 ‘2008년도 국민연금기금 위탁운용계획’을 심의의결하였다.□ 2008년도 위탁운용 목표 비중은 전년도(15%)에 비해 8%포인트 상승한 수치이며금액상으로는 약 20조 1천억여원이 증가한 것이다.ㅇ 이에 따라2008년말의 자산별 위탁운용 비중은 국내주식 55%국내채권 5%해외주식 100%해외채권 15%대체투자 75%를 차지하게 된다.문의: 연금재정팀   최 경 일 02-500-5519,2008-01-02
1259,□ 질병관리본부(본부장 이종구) 국립보건연구원 희귀난치성질환센터에서는 10종의 희귀난치성질환에 대한 교육자료를 제작하여 전국관련기관에 배포함.○ 희귀난치성질환센터에서는 환자 및 일반인들의 질병에 대한 이해를 돕고자 2006년부터 희귀질환의 증상진단 및 치료 등의 내용으로 교육자료를 배포하고 있는데올해는만성 콩팥병혈우병크론병 등 비교적 자주 접할 수 있,2008-01-03
1257,국가청소년위원회 인사발령《 팀장급 전보 》부이사관 신 현 두 (申 鉉 斗)활동복지단 활동문화팀장에 보함.서 기 관 안 상 현 (安 相 賢)행정지원팀장에 보함.서 기 관 강 정 민 (姜 旌 敏)정책홍보관리관 혁신인사기획팀장에 보함.서 기 관 신 준 호 (申 俊 鎬)정책홍보관리관 성과관리팀장에 보함.서 기 관 고 의 수 (高 義 洙)정책홍보관리관 법무감사팀장에 보함.서 기 관 이 재 복 (李 在 福)청소년정책단 참여인권팀장에 보함.서 기 관 정 군 식 (丁 君 植)청소년정책단 국제협력팀장에 보함.서 기 관 박 금 렬 (朴 金 烈)활동복지단 복지지원팀장에 보함.서 기 관 양 윤 선 (梁 潤 善)청소년보호단 생활환경팀장에 보함.서 기 관 최 규 종 (崔 圭 鐘)청소년보호단 매체심의팀장에 보함.서 기 관 김 봉 호 (金 捧 浩)청소년보호단 정보등록팀장에 보함.《 서기관급 전보 》서 기 관 나 의 순 (羅 儀 淳)활동복지단 시설단체팀 근무를 명함.서 기 관 임 장 락 (林 長 洛)청소년보호단 청소년성보호팀 근무를 명함.2008. 1. 7.국가청소년위원회위원장,2008-01-05
1255,□ 보건복지부는 사회복지시설과 시군구간에 종이문서로 이루어지던 보조금교부신청 등 7종의 보고업무를 ‘08년 1월 2일부터 온라인으로 수행함으로써 사회복지시설의 업무효율성을 제고하고 투명한 시설회계의 투명성을 확보하고자 함,2008-01-07
1254,□보건복지부는 저출산 문제에 대한 적극적인 대응의 일환으로2008년도에 산모신생아도우미서비스를 대폭 확대하여 시행할 계획임○동 서비스 지원대상은 2007년도 37천명에 비해 18% 증가한원문보기,2008-01-07
1253,□ 국립재활원(원장 박병하)은 중증장애인들의 자립생활훈련과 사회적응력 향상을 위한 사회재활과정의 재활훈련생을 모집한다.○ 사회재활훈련과정으로는 사회적응과정(뇌병변지체장애인지적장애     인)과 자립기초과정(뇌병변지체장애인)이 있으며 훈련내용은 도자      기컴퓨터일상생활훈련동료상담재활운동 등이 있다.,2008-01-07
